6964081
/m/0gz15_
/m/0gz15_
Jules Verne
1866
{"/m/06n90": "Science Fiction", "/m/08sdrw": "Adventure novel"}
1740 1
1861 1
a 8
able 1
active 1
adventures 1
after 3
america 1
an 4
and 9
another 1
are 1
around 1
as 2
ashore 1
asylum 2
attacks 1
bears 1
becomes 1
black 1
boat 1
british 1
build 2
bullets 1
but 2
by 6
captain 2
cavern 1
clawbonny 2
climbing 1
completely 1
constructed 1
continues 1
controlled 1
convinced 1
crater 2
crew 1
days 1
deaf 1
described 1
destruction 1
difficulty 1
direction 1
discover 1
discovers 1
do 1
doctor 2
dog 1
driven 1
due 1
duke 1
editor 1
ends 1
england 1
exact 1
expedition 3
experience 1
explosions 1
faithful 1
few 1
fire 1
fjord 1
for 1
forever 1
found 1
from 4
frozen 2
get 1
group 1
hatteras 10
he 3
head 1
here 1
hetzel 1
his 4
hours 1
ice 3
icefree 1
in 8
indicated 1
ingenuity 1
insane 2
intensity 1
into 2
is 8
island 3
it 2
john 1
jules 1
jumps 1
last 1
led 1
lens 1
line 1
location 1
losing 1
mainly 1
make 2
marches 1
matter 1
men 1
mercury 1
mind 1
mouth 1
mute 1
mutiny 1
name 1
never 1
new 1
no 1
north 2
northward 1
not 2
novel 1
obsession 1
of 13
on 3
or 1
originally 1
palace 1
perishes 1
place 1
plan 1
polar 1
pole 5
powder 1
previous 1
put 1
rather 1
reach 2
real 1
recalls 1
remainder 1
remains 1
remotely 1
repel 1
required 1
results 1
return 1
rewrite 1
russia 1
sea 2
sequence 1
set 1
ship 2
shipwreck 1
shore 1
should 1
snowhouse 1
so 1
soul 1
speaks 1
spend 1
spends 1
states 1
streets 1
suggested 1
surrounding 1
survive 1
survives 1
that 3
the 40
their 1
they 3
three 1
to 7
towards 1
travellers 2
united 1
used 1
verne 2
volcano 2
walking 1
walks 1
was 1
what 1
when 1
where 1
while 1
who 1
winter 3
with 5
without 1
word 1
world 1
written 1
