11177296
/m/02r2nk3
/m/02r2nk3
Henning Mankell

{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 4
accident 1
after 1
against 1
alcoholfuelled 1
an 2
approaches 1
as 2
at 1
before 1
businessman 1
car 1
case 1
convinced 1
dead 1
death 1
decided 1
depression 1
dismisses 1
double 1
doubt 1
duty 1
exactly 1
father 1
finds 1
first 1
found 1
friend 2
has 1
he 2
him 1
himself 1
his 3
in 4
inspector 1
into 1
investigate 2
is 3
judgement 1
just 1
killing 1
kurt 3
leave 1
line 1
lioness 1
man 1
manner 1
murder 1
murdered 1
no 1
norwegian 1
of 3
old 1
police 1
previous 1
recent 1
returns 1
same 1
secretly 1
shortly 1
spiralling 1
sten 2
suspicions 1
the 5
to 4
torstensson 1
unlikely 1
wallander 1
what 1
when 2
white 1
with 1
work 1
