1915104
/m/065tmq
/m/065tmq
Herman Melville

a 33
aboard 2
about 1
ache 1
active 1
adorn 1
afloat 1
again 1
alive 1
all 4
an 4
and 28
any 1
apparent 1
are 1
arms 2
as 7
ashore 1
aside 1
assigned 1
at 6
babe 1
bad 1
balls 1
beat 2
become 2
bed 1
been 3
before 2
begins 1
behind 1
beneath 1
best 1
birth 1
blood 2
blue 1
body 1
bolton 3
bonnet 1
bosom 1
boulton 1
bound 2
boy 1
branded 1
bread 1
broken 1
brothel 1
brow 1
brutal 1
bully 1
business 1
but 5
buttons 1
by 2
cain 1
called 1
came 1
can 1
cellar 1
cheese 2
child 1
children 2
city 2
clasps 1
cleaning 1
climbing 1
climbs 1
closed 1
command 1
commences 1
common 2
comparable 1
compels 1
corrupting 1
cramped 1
crew 2
cunning 1
curse 1
day 3
days 1
dazzlingly 1
dead 4
death 1
deciding 1
decks 1
deficits 1
deliverance 1
departs 1
described 1
did 2
discovers 1
docks 1
drink 1
drops 1
drowned 1
dull 1
duties 1
duty 1
each 1
education 1
employment 1
empty 1
england 1
enough 1
even 3
eventually 1
every 2
everywhere 1
expecting 1
experiences 1
eye 1
eyes 1
face 1
fallen 1
falls 1
far 2
fast 1
feared 1
feeble 1
few 1
figure 1
fills 1
find 1
finds 1
first 4
fist 1
folded 1
food 1
for 11
forecastle 1
former 1
four 1
friends 1
from 3
gentleman 1
girls 2
given 1
glistening 1
go 2
going 1
gone 1
green 1
greenhorn 1
had 2
hand 1
harry 1
has 1
hat 1
haunt 1
haunting 1
have 2
he 19
head 2
heap 1
hears 2
heart 1
hearts 1
help 2
helps 1
her 3
hey 1
highlander 2
him 7
himself 1
his 13
home 2
hours 1
hydrant 1
i 1
ill 1
image 1
impractical 1
in 7
indifference 1
indigo 1
inscrutable 1
intercourse 1
into 4
iron 1
is 8
it 3
its 5
jacket 1
jackson 3
job 1
judging 1
just 1
knew 1
land 1
landlady 1
later 2
latter 1
launcelott 1
leaned 1
leaving 1
liberty 1
life 2
lift 2
like 3
live 1
liverpool 2
livid 1
london 1
longboat 1
looked 1
looking 2
looks 1
lower 1
lowest 1
lungs 1
made 1
make 1
male 1
man 1
mast 3
masts 1
mate 1
meager 1
medicine 1
meets 1
merchantman 1
met 1
mind 1
moment 1
most 1
mother 3
mouths 1
move 1
must 1
name 1
named 1
near 1
never 2
new 2
nibble 1
nicknames 1
night 1
no 3
nose 1
not 4
notices 1
of 15
officers 1
old 2
on 7
one 2
open 1
or 2
other 1
out 3
over 1
own 1
pacific 1
part 1
persecuted 1
pigpen 1
place 1
policeman 1
politics 1
port 1
porter 1
procure 1
promptly 1
pulls 1
quarters 1
quicklime 1
ragpicker 1
rank 1
redburn 5
rents 1
representing 1
rest 1
resurface 1
return 1
returns 2
revisits 1
revive 1
room 2
rows 1
rules 1
runs 2
sailor 3
sails 1
scrubbing 1
sea 3
seaman 3
searing 1
seasickness 1
see 1
sees 1
separate 1
serving 1
shiny 1
ship 5
shipboard 1
shrunken 1
side 2
sight 1
sign 1
signs 1
so 1
some 4
something 1
son 1
soon 3
soulsickening 1
speak 1
squalor 1
squinting 1
stir 1
street 2
stumbles 1
sty 1
such 1
suddenly 1
tarpaulin 1
tells 1
that 8
the 48
their 4
them 4
then 1
there 1
they 8
things 1
though 1
thrust 1
to 18
too 2
topsail 1
tormented 1
torrent 1
toward 1
treatment 1
trials 1
trip 1
two 2
unable 1
understand 1
uneducated 1
unfurl 1
unseamanlike 1
vault 3
very 1
visit 1
vomits 1
voyage 2
wail 2
walks 1
wants 1
warehouse 1
was 4
water 1
ways 1
weak 1
weeks 1
wellingborough 1
were 1
whaler 1
what 1
where 5
whether 1
which 1
whispers 1
white 1
who 2
will 1
with 9
woman 3
work 1
workings 1
yard 1
yellow 1
yet 2
york 2
young 1
