10127166
/m/02q2p54
/m/02q2p54
Andrew Clements
2000
a 20
about 1
absolutely 1
access 1
after 3
ago 1
also 1
always 1
an 1
and 14
anger 1
another 2
apartment 1
approached 1
are 1
area 2
army 2
around 1
as 5
astounded 1
at 4
attempts 1
auditorium 1
away 1
back 1
backfires 1
be 3
because 1
been 1
before 1
begins 1
being 2
bell 2
beneath 2
between 1
bond 1
bottom 2
box 1
boy 1
building 2
built 1
but 3
by 4
can 1
car 4
cars 1
case 1
catch 1
centers 1
chairs 1
charge 1
clean 1
cleaning 3
closer 1
college 1
completely 2
concocts 1
continue 1
corvette 1
could 1
couple 1
courageous 1
crash 1
crossroads 2
currently 1
dad 4
day 2
days 2
dealership 1
desk 1
desks 1
destroy 1
didnt 1
different 2
disappointment 1
discoveries 1
discovers 1
door 1
drive 1
during 4
eddie 2
else 1
emerging 1
ends 1
enraged 1
eventually 1
ever 1
every 2
explains 1
exploration 1
father 16
feeling 1
feet 1
fellow 1
fifth 1
final 1
finds 6
finishes 1
fire 1
first 2
follow 1
for 8
forget 1
free 1
from 3
frustration 1
funeral 1
furniture 1
futile 1
get 2
give 2
go 1
going 1
got 1
grader 1
grandfather 1
grow 1
gum 3
happened 1
has 2
have 1
he 19
help 2
high 2
him 5
himself 3
his 29
home 3
hospital 1
hour 1
how 1
huntington 1
image 1
in 17
interesting 1
intrigued 1
is 4
it 3
jack 11
janitor 5
janitors 1
job 1
john 10
joined 1
jr 1
keen 1
key 2
kinder 1
kindness 2
knew 1
large 1
later 1
left 1
let 2
light 1
like 2
little 1
living 2
loathed 1
locking 1
lou 2
loved 1
make 1
manages 2
men 1
mentioned 1
met 1
middle 1
minneapolis 1
minnesota 1
moved 1
much 1
must 3
named 2
near 1
needed 1
never 2
nevertheless 1
new 1
newer 1
next 1
now 3
of 19
off 3
offered 1
old 2
on 1
one 2
only 1
order 2
other 1
others 1
out 4
own 1
paid 1
parts 2
people 3
picture 1
place 1
plan 2
pole 1
price 1
punishment 1
put 1
rankin 1
reaches 1
realizes 1
reason 1
receives 1
recover 1
resident 1
reveals 1
revelation 1
ride 2
ridiculed 1
same 1
saying 1
school 8
second 1
sense 1
sentenced 1
separate 1
set 3
several 2
since 2
small 1
smell 1
so 1
some 1
somebody 1
spent 1
spoiled 1
station 1
staying 1
steam 2
stick 1
still 2
stole 1
story 2
takes 1
tells 2
that 10
the 45
their 1
them 2
there 1
these 1
they 1
this 2
those 1
three 1
time 1
tiny 1
to 24
together 1
told 1
touched 1
tour 1
tower 2
town 4
tried 1
tries 1
tunnel 3
tunnels 3
turn 1
two 1
under 1
unfortunately 1
until 2
up 4
vietnam 2
wad 1
want 1
wanting 1
war 3
was 4
weeks 1
where 1
which 1
while 3
who 3
will 1
with 4
work 1
worked 1
working 1
works 1
would 2
year 1
years 1
