3098774
/m/08r9tw
/m/08r9tw
Henry James
1899-12

a 6
actress 1
add 1
after 1
agrees 1
an 2
and 6
anything 1
apologizes 1
approval 1
are 2
arthur 4
arthurs 1
asks 1
at 1
aunt 4
aunts 1
away 1
be 4
because 1
becomes 1
believed 1
bought 1
charlotte 11
claimed 1
claims 1
color 1
consider 1
could 3
cousin 3
death 1
decides 1
disputes 1
dress 1
enthusiastic 1
everyone 1
fact 1
fascinated 2
father 1
find 1
finds 1
foolishness 1
for 2
friend 1
from 2
gentleman 1
genuine 1
gift 2
given 1
giving 1
governess 1
guilt 1
guy 6
had 3
has 1
have 2
he 2
her 13
his 2
however 1
if 2
imitation 1
immediately 1
in 2
includes 1
inherited 1
insisting 1
insists 1
insulted 1
is 3
it 2
jewelry 3
job 1
keeping 1
keeps 1
later 1
memory 1
month 1
more 1
mrs 6
must 1
necklace 1
no 1
nothing 1
of 7
ones 1
other 1
out 1
party 2
paste 1
pearls 7
prime 1
protagonist 1
quickly 1
real 2
refuses 1
return 1
returned 1
returns 1
same 1
shattered 1
she 4
should 1
shows 2
sold 1
some 1
stepmother 1
stepson 1
still 1
store 1
string 4
such 1
surprised 1
telling 1
than 2
that 10
the 16
them 3
they 5
this 1
thought 1
tin 1
to 10
too 1
upcoming 1
was 2
wears 1
were 1
when 5
where 1
which 1
who 1
with 3
wonderful 1
wonders 1
