16473093
/m/03y7r41
/m/03y7r41
Jules Verne
1882
{"/m/08sdrw": "Adventure novel"}
a 2
acceding 1
aka 1
an 2
and 5
around 1
artelett 1
asked 1
board 1
by 1
captain 1
commanded 1
courage 1
dance 1
desire 1
discovers 1
dream 2
effort 1
face 1
faced 1
few 1
from 1
gains 1
godfrey 2
have 1
he 1
him 1
his 5
idle 1
instructor 1
island 1
jaded 1
kolderup 1
learn 1
life 1
lives 1
lord 1
man 1
marrying 1
mentor 1
miles 1
obstaclestogether 1
of 3
on 1
only 1
organize 1
other 2
overcome 1
phina 1
poise 1
pretty 1
prior 1
professor 1
savages 1
sea 1
sends 1
ship 1
sinking 1
sinks 1
survive 1
survivor 1
t 1
tartlet 2
teacher 1
the 10
this 1
to 6
turcott 1
twentytwoyearold 1
two 1
uncle 2
undertake 1
unfortunately 1
value 1
voyage 1
w 1
wealthy 1
where 1
will 1
william 1
with 4
world 1
years 1
young 2
