3091092
/m/08qtdv
/m/08qtdv
Jonathan Stroud
2003
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
10 1
a 32
about 1
accompanies 1
accosted 1
accosting 1
accoutrements 1
achievement 1
acquaintances 1
act 1
acts 2
adding 1
address 2
admirable 1
admired 1
adoption 1
advocates 1
affairs 1
after 17
again 1
against 6
age 1
agonising 1
agreement 1
alerted 1
alive 1
all 1
alleged 1
alleyway 1
allowing 1
allows 1
also 3
amanda 1
ammunition 1
amulet 11
an 15
ancient 1
and 49
angered 1
antagonist 1
appeased 1
apprentice 2
are 3
arrive 2
art 1
arthur 1
artifact 1
as 10
assist 1
assistant 1
at 4
attack 1
attempt 1
attempted 2
attempts 4
attention 1
attractive 1
avoid 1
awarding 1
away 1
awoken 1
back 1
bartimaeus 32
be 2
bearded 2
beating 1
because 1
become 2
becomes 2
been 3
before 6
behavior 1
being 1
believes 1
belittles 1
beloved 1
betray 1
betrays 1
beware 1
birth 3
birthday 1
blown 1
blows 1
books 1
boots 1
botches 1
both 1
boy 2
bubble 1
buried 1
but 6
by 14
called 1
calls 2
can 3
car 1
caught 1
chance 1
charge 2
charged 2
child 1
clean 1
climactic 1
clothes 1
cocky 1
command 1
commune 1
completing 1
condition 2
conference 1
confinement 2
confiscates 1
conscience 1
corporal 1
counteracts 1
country 1
coup 1
cover 1
covered 1
covert 1
cracks 1
culmination 1
dangerous 2
days 1
death 1
deems 1
defense 1
delicatessen 2
demands 1
demon 1
deride 1
destroy 3
destroys 1
detailing 1
detained 1
devereaux 1
die 1
disappear 1
disastrous 1
discover 1
discovered 2
discovers 1
disguise 1
disguised 2
disguises 1
dismissal 3
dismissed 1
dismisses 2
displayed 1
displays 1
distracts 1
djinni 5
door 1
downfall 1
dramatically 1
during 1
easily 1
either 1
elemental 1
elements 1
embitter 1
employ 1
encourages 1
encouraging 1
end 1
enormous 1
escape 2
escapes 1
escaping 3
events 3
examine 1
exceptional 1
existence 1
expecting 1
experience 1
experiences 2
explosion 1
expresses 1
extraordinary 1
extravagant 1
fails 2
faquarl 5
feelings 1
fiasco 1
field 1
final 1
finally 1
fire 1
fired 1
fireworkcubes 1
fleeing 1
fleet 1
floor 1
flying 1
foiled 1
foliot 1
following 1
for 9
forces 1
forfeit 1
form 2
former 1
forth 1
free 2
from 5
fulfilling 1
further 1
furthermore 1
gang 1
gathering 1
generally 1
genuine 1
gets 1
girlfriend 1
glass 5
government 3
grant 1
group 1
grudge 2
guarantees 1
guard 1
had 4
half 1
hall 2
hands 1
harbors 1
has 3
having 1
he 19
heddlehem 1
help 1
helpless 1
hero 1
heroic 1
hide 1
highly 1
him 18
himself 3
his 38
holds 1
hope 1
horn 2
hosts 1
house 2
however 1
humiliation 1
igniting 1
ignorance 1
ignorant 1
immensely 1
immobile 1
imp 2
impenetrable 1
impolitely 1
imps 1
in 29
incurs 1
infiltrate 1
instead 2
internal 1
interrogate 1
interrogated 1
interviewed 1
intimidations 1
into 3
invisible 1
involving 1
is 27
it 2
its 1
jabor 5
jessica 3
john 1
johnnathaniel 1
join 1
keep 1
kill 4
kitchen 1
knowing 1
knowledge 1
lack 1
large 1
last 1
later 4
latter 1
lays 1
leads 2
league 1
learn 1
learns 1
leaves 1
less 1
let 1
levitating 1
lifestyle 1
limps 1
live 1
location 1
london 2
looking 1
lovelace 27
lutyens 1
magic 2
magical 2
magically 1
magician 5
magicians 9
manager 1
manages 1
mandrake 1
martha 1
master 10
materialism 1
may 1
meanwhile 1
mechanically 1
mechanism 1
mediocre 1
meets 1
members 1
mercenary 4
messenger 2
method 1
minister 3
mites 1
modified 1
moment 1
money 1
month 1
motion 1
mrs 4
ms 1
mutual 2
mysterious 2
name 3
named 1
nathaniel 48
neglects 1
nemesis 1
never 2
new 3
night 2
notes 2
noteworthy 1
novel 1
now 1
object 1
obliterates 1
obvious 1
of 44
offered 1
officially 1
on 6
once 1
one 4
operation 1
or 1
order 3
ordered 1
orders 1
other 4
outside 1
over 1
own 1
package 2
pair 2
paraphernalia 1
parents 1
parliament 2
particularly 1
past 1
paying 1
pentacle 1
people 1
perpetual 2
persian 1
petrol 1
petty 1
physically 1
pinn 4
places 1
planes 1
plans 1
plot 3
plotting 1
powers 1
powerseeking 1
present 1
presentation 1
presents 1
preventing 1
previously 1
prime 1
proceeds 1
promises 2
promptly 1
protect 1
protection 1
pulled 1
punish 1
punished 1
punishment 2
quailing 1
quiet 1
quotes 1
ramuthra 3
reality 1
receiving 1
recounting 1
refuses 1
release 1
released 1
remains 1
reminding 1
required 1
resistance 4
resolves 1
results 1
retorts 1
return 2
returns 1
reveal 3
revealed 1
reveals 2
revenge 1
ridiculous 1
rift 3
road 1
role 1
room 3
rosemary 2
rudimentary 1
rug 1
runs 1
rupert 1
safekeeping 1
safety 1
samarkand 3
satisfied 1
saying 1
schyler 3
scrying 3
sealed 2
seated 1
security 1
seek 1
servants 1
service 1
servitude 1
set 1
sets 1
seven 2
shallow 1
sholto 2
should 3
shut 1
simon 3
simpkin 1
simple 1
slavers 1
slips 1
so 1
some 2
somehow 1
something 2
son 1
spanning 1
speaks 1
speed 1
spell 1
sphere 1
spies 2
spirit 2
spirits 2
spite 2
spotting 1
spy 1
state 1
steal 3
stolen 3
stop 1
strong 1
study 3
such 1
suicidal 1
summon 1
summoned 2
summoning 6
summons 2
surprises 1
surrounding 1
survives 1
suspicious 1
task 2
teacher 1
tells 1
thanks 1
that 13
the 95
theft 1
then 6
these 1
thief 1
thirst 1
this 7
those 1
thoughts 1
thousands 1
threatens 2
throng 1
through 1
throughout 1
thus 2
time 2
tin 3
to 54
toward 1
towards 1
tower 4
trapped 2
travel 1
travels 1
tricked 1
true 1
try 1
twelfth 1
two 1
typical 1
ultimatum 1
unbeknownst 1
under 6
underwood 19
underwoods 1
unexpected 1
unknowingly 1
unsuccessfully 1
unwilling 1
unwittingly 1
up 2
upon 2
use 1
using 3
vain 1
van 1
version 1
very 1
vicious 1
villa 1
violence 1
vows 1
warmly 1
warn 2
warp 1
was 2
way 1
waylay 1
welcomes 1
when 4
where 1
which 7
while 2
whilst 1
whitwell 3
who 7
whom 1
whose 1
wife 1
wild 1
will 2
with 10
witnesses 2
words 1
world 1
wrath 1
year 1
years 1
yet 2
young 3
youth 2
youths 2
