15324587
/m/03m4yk0
/m/03m4yk0
Desmond Bagley
1978
{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction"}
130s 1
40 1
a 4
accountant 1
across 1
africa 1
after 1
air 1
algeria 1
algiers 1
also 1
although 1
an 2
and 8
antiindustrial 1
are 1
area 1
around 1
as 1
assaulted 1
attempt 1
aviator 1
based 1
been 2
billson 4
border 1
but 1
by 1
client 1
collapsed 1
company 2
consultation 1
corporate 1
decides 1
deep 1
desert 2
desire 1
disappearance 2
discourage 1
dispel 1
emerge 1
espionage 1
famous 1
father 1
find 1
finds 1
firms 1
for 2
fraud 1
from 2
further 1
gamma 1
had 4
happened 1
has 1
he 4
him 1
his 3
in 4
incident 1
insurance 1
into 1
investigate 2
investigation 1
is 5
its 1
kill 1
lingering 1
london 2
looking 1
lose 1
luster 1
marriage 1
max 1
men 1
minor 1
missing 1
more 1
niger 1
northrop 1
not 1
obsessed 1
of 4
old 1
on 2
one 1
only 1
other 1
out 1
over 1
owner 1
paul 1
people 1
person 1
president 1
prevent 1
race 1
resources 1
sahara 1
search 1
searching 1
security 2
slander 1
somewhere 1
soon 1
south 1
southern 1
specializes 1
stafford 2
staffords 1
staged 1
starting 1
starts 1
successful 1
takes 1
tamanrasset 1
that 2
the 10
then 1
to 10
tremendous 1
truth 1
vanished 1
what 1
which 1
whim 1
who 1
will 1
with 2
work 1
year 1
years 1
