9196222
/m/027_xfz
/m/027_xfz
Minette Walters
2003-11-07
170 1
a 6
an 1
and 2
anthropologist 1
arrested 1
based 1
been 1
by 1
case 1
challenged 1
confession 1
confrontation 1
could 1
dark 1
decides 1
doing 1
ever 1
evidence 1
for 1
found 1
grandmother 1
guilty 1
harold 1
having 1
he 1
him 2
himself 1
his 1
however 1
hughes 1
in 4
into 1
jonathan 1
jury 1
killer 1
kills 1
later 1
lead 1
man 1
mentally 1
murder 1
of 2
on 1
only 1
person 1
plethora 1
prison 1
psychotic 1
reexamine 1
retracted 1
scant 1
secrets 1
so 1
social 1
specialising 1
stereotypes 1
stump 1
that 1
the 3
three 1
to 1
uncovers 1
understood 1
was 1
who 1
with 1
years 1
young 1
