5958929
/m/0fgnt2
/m/0fgnt2
Madeleine L'Engle
1989-10-01
a 17
about 1
accompanied 1
across 5
admit 1
adopted 1
ago 1
agree 1
agrees 1
alex 1
all 1
already 1
also 1
although 1
an 2
anaral 5
ancient 4
and 17
another 2
any 1
appeared 1
are 3
area 1
arrival 1
as 4
at 2
attachment 1
attempts 1
austin 1
autumn 1
avert 1
away 1
back 1
be 3
been 2
before 3
behind 1
being 1
betrayal 1
better 2
bishop 2
blood 2
bring 1
britain 1
brother 1
brown 1
but 6
by 4
captors 1
capture 1
changes 1
charming 1
college 1
colubra 3
colubras 1
come 1
compulsion 1
concept 1
conduct 1
conducting 1
connecticut 2
considered 1
contact 1
continues 1
convince 1
cross 1
crossed 1
current 1
cyprus 1
damaged 1
danger 1
dangers 1
dated 1
death 1
develops 1
discuss 1
divine 1
does 1
doing 1
dr 3
drawn 2
drought 3
druids 2
due 1
during 1
each 2
earth 1
education 1
encounter 1
escapes 1
expect 1
expected 1
exposing 1
family 3
fatal 1
feels 2
fever 1
first 1
for 4
formerly 1
found 2
friend 1
from 8
future 1
gate 1
getting 1
goal 1
goddess 1
grandparents 2
gray 1
greece 1
happen 1
happy 1
has 3
have 2
having 1
he 9
heal 1
healed 1
healer 1
heart 3
help 2
helps 1
her 9
herself 1
hieroglyphs 1
him 1
his 10
home 4
house 1
however 3
if 1
in 16
including 1
indoor 1
initially 1
injured 2
intend 1
interact 1
intersecting 1
into 2
intrigued 1
investigating 1
is 10
karralys 5
kate 1
klep 1
lake 7
large 1
leader 2
leads 1
learns 4
least 1
leave 1
let 1
lies 1
like 1
live 1
lived 2
location 1
longer 1
lotus 1
louise 2
love 2
made 1
man 2
maternal 1
medicine 1
meet 1
meets 1
members 1
met 2
mind 1
modern 1
moon 1
more 2
movements 1
much 1
murry 2
murrys 4
named 1
nason 1
near 1
nearby 1
neighbors 2
neither 1
night 2
nor 1
not 3
novel 1
now 1
obey 1
ocean 1
odd 1
of 22
offer 1
offering 1
okeefe 1
on 6
once 1
one 1
order 1
other 3
others 1
out 2
own 1
part 1
participates 1
past 4
people 9
periods 1
person 1
persuades 1
physically 1
place 1
planet 1
polly 22
pool 1
possibility 1
potential 1
potentially 1
precolumbian 1
previous 1
previously 2
primary 1
privations 1
problem 1
promises 1
protect 2
raid 2
raids 1
rain 1
rashly 1
received 1
refuses 1
relics 1
reluctant 1
repeated 1
repents 1
responsible 1
restrictions 1
retired 1
return 3
returns 1
rheumatic 1
rock 1
rocks 1
sacred 1
sacrifice 2
sacrificed 1
sake 1
samhain 1
science 1
see 1
seen 2
selfsacrifice 1
sends 1
severe 1
she 6
shouldnt 1
side 1
since 1
sister 1
site 1
situation 1
skepticism 1
slight 1
so 2
solution 1
some 1
soon 3
spending 1
spirit 1
start 1
starwatching 1
student 1
suddenly 1
surprising 1
swiftly 1
swimming 1
tav 5
tells 1
tesseract 1
than 2
that 7
the 56
their 5
them 3
then 1
there 1
they 4
things 1
this 2
thousand 1
three 1
through 1
tilting 1
time 5
timely 1
to 30
transported 1
trapped 1
tribe 4
tribes 1
tries 2
troubled 1
try 1
two 2
tynak 1
ultimately 1
unexpected 1
unite 1
visit 1
walking 1
wants 3
warrior 1
way 1
weak 1
when 2
where 3
whether 1
while 2
whom 2
wind 3
wins 1
with 9
withdraw 1
would 1
year 1
years 1
zach 4
zachary 7
