11339745
/m/02r87k1
/m/02r87k1
David Gemmell
1990
a 9
accomplished 1
alexander 1
all 1
also 1
an 2
and 2
army 2
around 1
as 2
asia 1
attempting 1
battles 1
between 1
birth 1
but 1
by 2
called 1
can 1
center 1
chance 1
city 2
crushing 1
de 1
describes 1
despised 1
destroying 1
discovers 1
duel 1
ending 1
extended 1
famous 1
flee 1
forced 1
forcing 1
frle 1
from 1
future 1
garrison 1
general 1
genius 1
gets 1
great 1
halfblood 1
he 4
help 1
her 1
him 1
ii 2
in 3
involved 1
is 8
kill 1
later 2
leads 1
legend 1
life 1
lion 1
love 1
macdoine 1
macedon 4
macedonian 1
macedonii 1
mercenary 1
mixedblood 1
mother 1
new 1
nobles 1
now 1
of 4
offered 1
on 1
only 1
opens 1
overthrow 1
parmenion 5
philip 2
pllew 1
process 1
professional 1
rebels 1
rebuild 1
residing 1
rise 1
rival 1
runner 2
seeing 1
she 1
some 1
sorceress 1
spartan 6
starts 1
states 1
story 2
strategic 1
subsequently 1
tamis 1
that 1
the 14
thebes 1
thebian 1
then 1
there 1
this 1
to 7
two 1
ultimately 1
under 1
war 1
whose 1
winning 1
with 2
years 1
yet 1
young 1
