20746136
/m/058q2d4
/m/058q2d4
John Reader
2008

1845 1
1850 1
3000 1
a 9
accused 1
across 1
adjust 1
advantage 1
after 1
ago 1
ailments 1
also 1
altiplano 1
america 2
an 2
and 19
andean 1
andes 1
anthropologists 1
any 1
are 1
around 1
as 2
at 3
atlantic 2
available 1
basic 1
became 2
because 1
become 2
been 1
began 1
biological 1
biologists 2
biopolitical 1
biosocial 1
blight 1
book 2
but 1
case 1
causing 1
center 2
chain 1
chains 1
change 3
cip 1
clear 1
code 1
colonies 1
commodity 1
competition 1
component 1
concern 1
conditions 1
consumption 1
created 1
cultural 2
culture 1
current 1
day 1
decades 1
decisions 1
defects 1
demographic 1
dependent 1
describes 2
describing 1
determining 1
developed 2
development 2
devotes 1
diet 2
different 2
discusses 2
discussion 1
divides 1
due 1
during 1
ecologists 1
economic 1
empire 1
entirely 1
environments 3
esculent 1
especially 1
europe 2
europeans 1
events 1
explanation 1
exploit 1
exploration 1
famine 2
farmers 1
fate 1
fault 1
final 1
first 2
flipped 1
flowering 1
for 3
fungus 2
gave 1
genetic 4
global 2
globe 1
good 1
governmental 1
great 1
groups 1
growing 2
had 1
happened 1
has 2
have 2
he 1
health 2
healthful 1
his 1
how 3
however 1
human 3
illustrates 1
immediately 1
important 2
in 16
including 1
induced 1
interaction 1
international 1
interspersed 1
intervention 1
into 2
ireland 2
irish 1
is 4
islands 1
it 5
its 1
knowledge 1
large 1
lays 1
lead 1
learned 1
least 1
lengths 1
leprosy 1
lessons 1
like 1
line 2
living 1
long 1
manpower 1
many 2
method 1
methods 1
mine 1
mineral 1
most 1
motion 1
mountains 1
naturally 1
not 2
nutritionally 1
obvious 1
occurring 1
ocean 1
of 30
on 2
or 1
other 1
out 2
outlines 1
over 1
pages 2
part 2
particular 1
parts 1
past 1
path 1
people 2
perception 1
period 2
plant 4
point 1
pooling 1
population 1
portion 1
potato 18
potatos 1
prevent 1
process 1
processes 1
properties 2
propitious 1
proposes 1
protect 1
protecting 1
rare 1
reader 7
readers 1
received 1
region 1
resources 2
result 1
rooted 1
scale 1
scientific 1
second 2
section 2
sections 1
securing 1
seems 1
set 3
several 2
shows 1
since 2
solely 1
something 1
south 2
spanish 1
spends 1
spread 2
stable 1
stops 1
study 1
successfully 1
such 2
take 1
tasting 1
that 6
the 55
then 2
theory 1
there 1
these 1
they 1
this 4
three 1
through 1
time 4
to 13
took 1
traces 1
tracing 1
tuber 1
up 1
valuable 1
value 1
varieties 1
was 3
way 1
weaknesses 1
well 2
were 2
western 1
what 2
where 1
which 3
who 1
with 1
world 1
worldwide 1
years 1
