2696429
/m/07yj_f
/m/07yj_f
Kate Tremayne
2005-06-06
{"/m/01qxvh": "Romance novel", "/m/0hwxm": "Historical novel"}
a 3
abandon 1
abi 1
adam 1
all 1
allow 1
america 1
an 1
and 6
artist 1
as 1
been 1
being 1
blighted 1
boscabel 1
brother 1
but 2
by 2
cling 1
consumption 1
continues 1
cover 1
create 1
death 1
despite 1
drink 1
embittered 1
energy 1
england 1
enough 1
estate 1
estranged 1
failure 1
far 1
father 1
fester 1
finally 1
from 1
front 1
gambling 1
girl 1
give 1
gwendolyn 1
has 3
hatred 1
he 2
her 1
him 2
his 10
honorable 1
intends 1
into 1
is 3
itself 1
japhet 2
john 2
lake 1
life 2
live 1
long 1
loveday 1
lover 1
made 1
manages 1
marry 1
master 1
meanwhile 1
meriel 1
not 1
obligations 1
of 5
on 3
pardon 1
performance 1
plans 1
pox 1
presence 1
pride 2
promise 1
putting 1
races 1
reach 1
rebuilding 1
return 1
rich 1
riddled 1
rival 1
ruined 1
side 1
soon 1
st 2
success 1
sworn 1
the 7
thwart 1
to 13
towards 1
treacherous 1
trevowan 2
turns 1
which 1
while 1
who 1
widow 1
wife 1
will 1
with 3
world 1
