213055
/m/01f6ff
/m/01f6ff
Grant Allen

{"/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
a 8
about 1
against 1
agrees 1
alan 1
alone 1
and 9
any 1
as 4
ashamed 1
barton 1
be 1
before 1
being 1
benefit 1
born 1
but 1
cambridgeeducated 1
can 1
chooses 1
clergyman 1
commits 1
couple 2
daughter 4
dies 1
do 1
dolores 3
dreaming 1
england 1
even 1
eventually 1
fact 1
falls 1
florence 1
follow 1
for 2
frees 1
friends 1
from 2
generation 1
getting 1
gradually 1
he 1
her 6
herminia 4
herself 1
however 1
huge 1
in 3
independent 1
influence 1
inheriting 1
is 3
italy 1
larger 1
lawyer 1
legal 1
live 1
living 1
london 1
love 1
make 1
married 2
maybe 1
means 1
meets 1
merrick 3
model 1
money 1
more 1
mother 2
move 1
moves 1
not 2
of 7
one 1
out 1
parents 1
position 1
prevent 1
raises 1
reluctantly 1
returns 1
role 1
sacrifice 1
she 5
show 1
single 1
small 1
societya 1
something 1
soon 1
starts 2
state 1
step 1
steps 1
suggests 1
suicide 1
teacher 1
technicalities 1
that 2
the 6
their 1
there 2
they 1
to 7
together 1
turns 2
typhoid 1
unfair 1
unmarried 1
wants 1
were 1
when 1
with 2
without 1
woman 2
women 1
working 1
younger 1
