2313324
/m/073248
/m/073248
Robert Ludlum
1988-02-22
177 1
78 2
a 12
accident 1
after 1
also 1
an 1
and 8
architect 1
are 2
as 2
averted 1
back 1
bancroft 1
be 2
because 1
been 1
before 1
being 1
brass 2
broken 1
but 1
chancellor 2
codename 1
comes 1
congress 1
consider 1
dead 1
deaths 1
desperately 1
destroyed 1
emmanuel 1
events 2
ever 1
exposes 1
few 1
fewer 1
first 2
for 4
friends 2
friendships 1
gifted 1
goes 1
group 1
had 1
have 1
he 2
him 4
his 5
hope 1
hostage 1
icarus 1
ict 1
impossible 1
in 8
incorruptible 1
influential 1
inheritors 1
inver 2
involved 1
is 5
just 1
kendrick 3
known 1
last 2
later 2
left 2
life 1
lives 1
looking 1
lost 1
lovedone 1
mahdi 2
man 1
manny 1
manuscript 2
masqat 2
mentioned 2
midst 1
might 1
morally 1
nation 1
novel 2
of 7
oman 2
on 1
only 1
operation 1
organisation 1
people 2
person 1
reason 1
remind 1
responsible 1
resurrected 1
reveal 1
revealing 1
revenge 1
said 1
since 1
somewhat 1
specialist 1
specially 1
strategy 1
straw 1
taking 1
the 22
their 1
there 2
they 2
this 2
through 1
to 7
tracking 1
tragedy 1
tragic 1
traitor 1
truth 1
turning 1
unknown 1
uprising 1
upsidedown 1
usa 1
vicepresident 1
victorious 1
was 3
weingrass 2
went 1
who 2
whom 1
with 1
world 2
worldrenowned 1
year 2
years 1
