23210674
/m/065y2ln
/m/065y2ln
Mal Peet
2008-10-06
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature"}
100 1
a 6
about 1
accused 1
achievements 1
advertisements 1
after 5
aftermath 1
against 1
all 1
alley 1
america 1
an 3
and 11
are 1
articles 2
asks 1
assigns 1
at 8
attempt 1
away 1
back 1
becomes 1
bianca 5
body 1
boy 1
bra 1
brabanta 3
brawl 1
breasts 1
bush 7
by 1
carcleaning 1
career 1
child 2
clothes 1
confusion 1
contracted 1
daughter 1
days 1
dead 1
death 1
defaming 1
desmeralda 2
desmerelda 6
despite 1
developed 1
disapproval 1
discovers 1
discuss 1
dollars 1
emotional 1
employs 1
entertainment 1
failed 1
faustino 1
featuring 1
felicia 6
find 1
finds 1
first 2
football 1
for 2
forces 1
from 3
gardener 1
gets 1
go 1
goes 2
greets 1
he 5
help 1
her 11
him 4
his 5
hold 2
house 1
how 1
however 1
immediately 1
in 10
involved 1
is 5
just 1
kids 1
label 3
learn 1
leaves 1
leaving 1
life 1
lists 1
live 1
look 3
looking 2
main 1
makes 1
marry 1
meanwhile 3
media 1
meets 1
men 1
mentioning 1
michael 3
missing 2
most 1
name 1
new 1
newspaper 1
night 1
nightclub 1
of 7
on 1
otello 9
other 1
oversized 1
overwhelmed 1
paff 2
party 2
paul 3
photogenic 1
photoshoot 1
pornography 1
pregnant 1
prevent 1
product 1
promote 1
pulls 1
racist 1
range 1
rebellion 1
relationship 1
response 1
rialto 3
same 1
scrutiny 1
season 2
sees 1
set 1
she 1
shed 1
sister 1
slum 1
slums 1
so 1
some 1
son 1
soon 1
south 1
sport 1
state 1
stop 1
strings 1
sweatshirt 1
take 1
taken 1
targeted 2
team 1
teenagers 1
tells 1
that 2
the 18
their 1
theme 1
there 1
they 2
three 1
time 1
to 14
under 1
up 2
used 1
was 3
watching 1
wear 1
when 3
with 3
wolf 1
