404949
/m/0249m_
/m/0249m_
Kingsley Amis
1954
{"/m/02yq81": "Comic novel", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
151 1
a 14
about 1
absentminded 1
academic 3
action 1
admits 1
advance 1
affair 1
affectedness 1
affluence 1
after 1
against 1
alcohol 1
all 1
also 2
amateur 1
ambiguous 1
amis 1
amongst 1
an 10
and 22
annual 1
appeal 1
appears 1
are 1
arm 1
article 1
as 2
asks 1
assistant 2
at 6
attempt 3
attempting 1
attempts 1
attitude 1
attracted 1
awarded 1
back 1
bad 1
badly 1
based 1
be 5
because 1
bedclothes 1
begins 1
behind 1
bertrand 5
better 1
blackmail 2
book 1
both 1
boyfriend 2
bump 1
burns 1
but 4
callaghan 1
calm 1
cannot 2
cant 1
christine 9
class 1
climax 1
collapsing 1
colleagues 2
comic 1
companion 1
concerned 1
continue 1
court 1
coveted 1
craves 1
credentials 1
cultural 1
dance 1
date 2
decide 1
decides 1
department 2
disastrous 1
discuss 1
display 1
dixon 26
dreadfully 1
drunk 1
during 2
duty 1
dynamic 1
each 1
else 1
emotional 1
emotionally 1
employment 1
employs 1
end 3
ends 1
england 1
english 1
ensure 1
escalation 1
establish 1
everything 1
exactly 1
exboyfriend 2
excess 1
explicit 1
extended 1
failed 1
faked 1
fantasy 1
far 1
feels 2
fellow 1
finally 2
finds 1
first 2
fit 1
for 2
former 1
free 1
friend 1
from 3
gauche 1
gets 1
girl 1
girlfriend 2
goes 2
good 1
grammar 1
guilty 1
has 1
hates 1
having 1
he 11
head 1
help 1
her 4
high 1
him 2
his 14
history 1
holds 1
horribly 1
host 1
how 1
however 1
in 11
individuality 1
informs 1
infuriates 1
initially 1
into 1
is 14
it 1
its 1
jim 3
job 1
jones 1
keep 1
kiss 1
larkin 1
last 1
later 1
latest 1
laugh 1
laughter 1
lecture 1
lecturer 2
lecturing 1
less 1
life 2
little 1
london 3
londoner 1
lose 1
lower 1
lucky 1
made 2
maintain 1
make 1
man 1
margaret 8
meanwhile 1
medieval 1
meets 4
men 1
merrie 1
middle 1
midlands 1
mock 1
monica 1
much 1
muse 1
musical 1
must 1
natural 1
nerves 1
never 1
northern 1
not 6
novel 4
obvious 1
of 16
offagain 1
offers 1
on 4
onagain 1
one 1
opportunity 1
other 1
out 2
painter 1
pair 1
particularly 1
passes 1
pays 1
pedant 1
peel 1
philip 1
pity 1
place 1
position 2
possession 1
possibly 1
pretension 2
pretentious 1
previous 1
private 1
probationary 1
professor 3
public 2
publication 1
pursue 1
pursuing 1
reach 1
reaches 1
realises 1
realize 1
rebellion 1
recovering 1
redbrick 1
relationship 5
relative 1
remaining 1
rescues 1
respect 1
reveals 2
ridiculous 1
right 1
scholarly 1
schooleducated 1
scottish 1
see 1
seeing 3
seeking 1
seems 2
sense 1
set 1
sexless 1
she 3
society 1
sometime 1
son 1
standing 1
start 2
street 1
struggles 1
suicide 2
supposed 1
tacit 1
takes 1
tea 1
telephones 1
tenure 1
than 3
that 5
the 35
them 1
then 1
they 1
this 2
time 1
to 22
too 1
towards 2
trajectory 1
treats 1
tries 1
truly 1
two 2
uncle 2
uncontrollably 1
uncontrolled 1
university 2
unsuccessful 1
unsure 1
unsympathetically 1
up 1
upset 1
using 1
values 1
very 1
wake 1
walking 1
was 3
weekend 2
welch 5
welches 1
wellconnected 1
when 2
which 2
who 6
whose 1
wife 1
will 1
with 11
wrong 2
year 3
young 2
