1659730
/m/05ld6n
/m/05ld6n
Abdul Kalam

2001 1
30 1
a 16
aboard 1
about 2
abraham 2
administered 1
aim 1
albert 1
all 2
amalgamate 1
an 1
ancient 1
and 15
around 1
as 2
ashoka 1
awake 1
based 1
be 1
begins 3
billion 1
bokaro 1
book 5
but 1
by 2
caliph 1
can 1
cannot 1
caption 2
change 1
chapter 8
citizen 1
civilization 1
constituting 1
contributed 1
country 1
countrymen 1
crashed 1
crime 1
d 1
deal 1
deals 1
desert 1
destroy 1
destructionit 1
determine 1
develop 1
developing 1
development 1
dhawan 1
done 1
dr 1
dream 1
dwarfed 1
eighth 1
einstein 1
elementary 1
emperor 1
emphasises 1
ends 1
enemies 1
exhorts 2
faiths 1
father 1
felt 1
few 1
fifth 1
find 1
five 1
followed 1
following 1
for 2
fortress 1
forum 1
from 1
gandhi 1
great 2
having 1
he 4
helicopter 1
heritage 1
himself 1
ideologies 1
ignites 1
importance 1
in 3
india 3
indian 2
indianbsparmed 1
indians 1
inherent 1
inner 1
inspiring 1
into 2
is 4
its 1
j 1
jharkhand 1
kalam 1
kalams 1
knowledge 1
kurien 1
last 1
laureate 1
let 1
like 1
lincoln 2
line 2
love 1
mahatma 1
men 1
miles 1
minds 1
mindset 1
miraculously 1
model 1
models 1
modern 1
mother 1
multitude 1
my 3
namely 1
nation 2
national 2
nationi 1
next 3
night 1
ninth 1
nobel 1
note 1
of 14
off 1
omar 1
on 3
one 2
opening 1
people 1
personalities 1
pragmatic 1
presence 1
r 1
rabindranath 1
ranchi 1
readers 1
realize 1
recalls 1
recounts 1
reminds 1
result 1
risks 1
role 1
sad 1
sand 1
sarabhai 1
satish 1
saw 1
school 1
section 1
seen 1
september 1
seventh 1
shall 3
small 1
society 1
song 1
spiritual 1
state 1
states 1
stood 1
strengths 1
success 1
survived 1
tagore 1
take 1
talks 2
tata 1
teachers 1
technology 1
tells 1
that 6
the 28
their 1
then 1
there 1
these 2
things 1
third 1
thirukkural 1
this 1
to 6
tranquilizer 1
verghese 1
very 1
vikram 1
vision 2
visionaries 1
vivid 1
ward 1
was 2
way 2
we 1
weapon 1
which 3
while 1
wisdom 1
with 10
words 4
writes 1
young 1
youth 1
