1277224
/m/04ph51
/m/04ph51
John Gardner
1989
{"/m/06wkf": "Spy fiction"}
600 1
8 1
a 9
active 1
agents 1
aircraft 2
all 1
american 3
an 1
anarchy 1
and 11
another 1
as 3
at 2
attempt 1
attempting 1
attempts 1
away 1
bast 3
beatrice 1
before 1
being 1
between 2
billion 1
boards 1
bond 8
british 3
brotherhood 1
bush 1
captain 1
capture 1
carried 1
carrier 1
carrierbased 1
centre 1
commander 1
counteract 1
da 1
decides 1
destroy 1
dollar 1
down 1
during 1
duty 1
ends 1
escapes 1
executed 1
exercise 1
fly 1
for 2
from 2
game 1
george 1
girlfriend 1
goes 1
gorbachev 1
h 1
harrier 2
has 1
hence 1
him 2
hindrance 1
his 4
hms 2
hold 1
holiday 2
identify 1
in 5
incident 1
infiltrate 2
intelligence 1
investigation 1
invincible 2
is 7
italy 1
its 1
james 1
jet 1
kill 1
knowledge 1
known 2
landsea 1
later 1
leaders 1
leading 1
learning 1
life 2
long 1
m 1
made 1
margaret 1
maria 1
massive 1
meeting 1
mikhail 1
minister 1
months 1
most 1
murder 1
naval 1
navies 1
navy 3
of 5
officer 1
on 2
once 1
order 1
organisation 1
out 1
planning 1
plans 2
potential 1
powerful 1
premier 1
president 1
presumably 1
prime 1
promoted 1
ransom 1
receives 1
referred 1
report 1
returned 1
returning 1
ricci 1
royal 2
russian 1
scheduled 1
sea 2
secret 2
security 1
ship 1
shoot 1
sleeper 1
soviet 1
spends 1
stewards 1
summit 3
taking 1
task 1
tasked 1
terrorism 1
terrorist 1
that 2
thatcher 1
the 12
their 1
thencurrent 1
this 1
three 1
time 1
to 13
topsecret 2
training 2
up 1
w 1
war 1
when 1
while 3
with 2
word 1
world 1
year 1
yeovilton 1
