3961777
/m/0b8vmy
/m/0b8vmy
Henry James
1893-05
a 4
about 2
above 1
admiration 1
also 1
and 7
art 1
as 1
at 2
attending 1
attention 1
author 1
been 1
begins 1
book 2
bournemouth 1
by 1
chance 1
close 1
comes 1
companion 1
consciousness 1
convalescing 1
countess 3
course 1
days 2
death 1
dencombe 8
died 1
doesnt 1
dr 5
eloquent 1
ended 1
english 1
entitled 1
few 2
final 1
finds 1
first 1
for 1
has 4
he 6
her 1
him 2
his 2
how 1
hugh 5
ill 1
in 1
is 4
later 1
latest 1
left 1
life 1
loses 1
middle 1
miss 1
more 1
named 1
near 1
next 1
nothing 1
novel 1
novelist 1
of 2
only 2
over 2
pays 1
physician 2
quoted 1
reading 1
realize 1
recognized 1
referred 1
relapses 1
revives 1
seaside 1
sentence 1
seriously 1
sitting 1
speaking 1
suddenly 1
tale 1
talk 1
tells 2
than 1
that 4
the 14
this 1
though 1
to 8
town 1
vernham 1
warned 1
water 1
weakened 1
wealthy 2
when 1
whispers 1
who 1
will 1
woman 2
words 1
years 1
young 1
