11838908
/m/02rv4pf
/m/02rv4pf
Michael Morpurgo
1999
{"/m/0dwly": "Children's literature", "/m/06gtzk": "Robinsonade"}
145 1
a 12
africa 1
after 5
alive 2
all 1
also 1
america 1
an 2
and 17
annoyances 1
any 1
are 3
around 1
arrives 1
artois 1
as 2
at 3
atomic 1
august 1
australia 1
awake 1
away 1
be 4
beach 1
beacon 2
been 1
begins 1
believes 1
best 1
board 1
boat 2
bomb 1
both 1
boy 1
brickworks 1
build 1
but 3
called 2
calls 1
can 1
cannot 1
cave 1
change 1
chinese 1
closer 1
consults 1
crew 1
dead 1
decide 1
decides 1
desert 1
despite 1
died 1
direction 1
discover 2
do 1
doctor 1
does 1
dog 1
dropped 1
earlier 1
elderly 1
elongated 1
emperor 2
england 1
english 1
eventually 1
everything 1
family 2
feels 1
find 2
fire 2
fish 1
food 2
for 2
four 1
from 4
gather 1
gibbon 1
go 1
goes 1
guidelines 1
guinea 1
gunshots 1
had 1
has 1
have 3
he 15
heading 1
hear 1
helps 1
him 6
his 11
home 1
honourable 1
how 4
however 1
ii 1
in 6
into 1
is 14
island 4
it 1
japan 1
japanese 1
jellyfish 1
jobs 1
junk 1
just 1
keep 1
kensuke 14
kikanbo 2
killed 1
kingdom 2
landed 1
later 2
learns 1
learnt 1
leaves 1
left 1
letter 1
lies 1
light 2
like 1
lit 1
living 1
log 2
long 1
look 1
lookout 1
lose 1
man 1
michael 15
michaeltravels 1
misses 1
monkeys 1
month 1
must 1
my 1
nagasaki 1
near 1
nearly 1
never 1
new 1
next 1
night 1
no 1
normally 1
not 5
ocean 1
of 3
on 8
one 3
or 1
orangutan 1
orangutans 1
otherwise 1
out 1
over 1
overboard 1
pacific 1
paint 1
papua 1
parents 5
particular 1
passed 1
peanut 1
peggy 2
people 1
place 1
poachers 2
point 1
protect 1
published 1
receives 1
recognizes 1
regularly 1
reunited 1
revealed 1
run 1
runs 1
rush 1
sail 1
sailing 1
saves 1
says 1
school 1
seas 1
secret 3
see 3
sees 1
sets 1
seven 1
shaped 1
ship 7
ships 2
should 1
sign 1
signal 1
some 1
son 1
south 1
stay 1
stella 1
still 2
stranded 1
struggling 1
succeed 1
sue 2
surprise 1
survive 2
survivor 1
teach 1
teaches 2
tells 1
ten 1
that 14
the 31
their 1
them 1
there 1
they 10
thing 1
thinking 1
thinks 1
this 2
threat 1
time 3
to 22
together 1
towards 1
travel 1
understand 1
until 2
visit 1
war 1
warning 1
was 1
washed 1
water 2
what 1
when 4
where 2
whether 1
while 1
who 1
will 2
with 4
witnesses 1
world 2
would 1
writes 1
yacht 1
years 2
young 1
