5470763
/m/0dnbfr
/m/0dnbfr
Leslie Charteris
1971
a 4
action 1
against 1
asian 1
by 2
cab 1
called 1
captures 1
case 1
customer 1
death 1
describing 1
during 1
earlyseventies 1
empire 1
england 1
english 1
exploiting 1
flavour 1
forgotten 1
frontpage 1
getting 1
headline 1
hero 1
home 1
horrible 1
immigrant 1
immigration 1
in 4
its 1
london 1
lurid 1
masses 1
newspaper 1
novel 1
of 4
on 1
pakistani 2
particularly 1
previous 1
rackets 1
simon 1
society 1
soho 1
some 2
spots 1
starts 1
templar 1
the 8
this 2
thrusting 1
times 1
titular 1
underprivileged 1
when 2
workers 1
