32455859
/m/0gyvlbl
/m/0gyvlbl
Paul Murray
2003-05-01
{"/m/05hgj": "Novel"}
24year 1
a 22
about 1
acting 1
actress 2
acts 1
affected 1
after 1
all 2
amaurot 2
america 1
an 2
and 16
anticipating 1
appear 1
are 2
argues 1
art 1
at 2
attic 1
awry 1
b 1
back 2
bank 1
become 1
begun 1
being 1
bel 6
bills 1
bleakly 1
blow 1
bosnian 1
bosnians 1
building 1
but 1
by 1
call 1
capital 1
car 1
cash 1
chaise 1
charles 14
charlie 1
chekhov 1
cherry 1
childhood 1
children 1
chile 1
christabel 1
circumstances 1
city 1
coats 1
college 1
coma 1
come 1
day 1
death 2
decayed 1
decides 1
describing 1
despite 1
devises 1
disarray 1
dog 1
doing 1
down 1
dreams 2
drinking 1
drives 1
dropout 1
employees 1
ends 2
entitled 1
evening 2
eventually 1
everyone 1
explodes 1
factory 3
fake 1
fall 1
falls 2
fantasy 1
fast 1
favorite 1
few 1
film 1
find 1
finds 2
five 1
floor 1
flying 1
folly 4
for 2
forced 1
from 2
full 1
garden 1
gargoyle 1
gene 2
gentleman 1
gimlet 1
gimlets 1
give 1
gloves 1
go 2
goodbyes 2
hand 1
has 2
have 1
he 5
head 1
her 6
him 3
his 15
home 3
house 2
however 1
hundreds 1
hythloday 1
immigrants 1
in 15
injured 1
insurance 1
into 5
ireland 1
is 7
it 2
its 1
job 2
jobless 1
large 1
latvian 2
layabout 1
lays 1
learn 1
leaving 1
life 2
like 2
likes 1
little 1
living 3
local 1
long 2
longue 1
loves 2
maid 1
make 1
makes 1
making 1
mansion 2
men 1
might 1
mobile 1
money 1
more 2
morning 1
move 1
movies 1
mrs 1
my 1
mysterious 2
named 1
narrowly 1
new 1
next 1
night 2
nothing 1
notices 1
novel 1
of 10
old 1
on 2
one 3
only 1
orchard 1
order 1
out 5
p 1
parents 1
pens 1
people 1
perfecting 2
phone 1
phony 1
pile 1
plan 1
planning 1
plans 1
play 2
plight 1
prefers 1
process 1
putting 1
race 1
rather 1
receives 1
repossess 1
return 2
rift 1
russia 1
save 1
says 1
sea 1
severely 1
she 2
shocked 1
sister 2
smashing 1
smooth 1
sombreros 1
some 1
south 1
spare 1
speed 1
spend 1
spent 1
sprezzatura 2
stone 1
story 1
strange 1
struggling 1
study 1
suddenly 1
surrounding 1
sweeping 1
swindles 1
takes 1
tending 1
than 2
that 6
the 26
their 4
there 2
they 1
things 1
threatens 1
through 1
tierney 2
time 4
to 15
top 1
town 1
tragedy 1
trinity 1
trip 1
two 1
underdog 1
up 2
upgrades 1
use 1
utopia 1
vineyard 1
w 1
wages 1
walking 1
wall 1
wants 1
watch 1
way 1
wealth 1
wealthy 1
wear 1
wearing 1
weeks 1
well 1
when 3
where 1
while 2
white 1
who 2
windshield 1
winnings 1
wins 1
with 3
women 1
work 1
writing 1
yeats 1
