22844502
/m/0642gh_
/m/0642gh_
Clive Algar
2007
118 1
a 2
african 1
and 2
archaeological 1
archaeologists 1
back 1
bay 2
brushes 1
brutality 1
but 1
butler 1
cape 1
cave 2
characters 1
connects 1
crisis 1
dan 1
dans 1
discover 1
enigmatic 1
experiences 1
flees 1
foundations 1
from 3
front 1
gradually 1
greatgrandfather 1
guilt 1
happened 1
harrowing 1
her 2
his 1
hoping 1
in 3
is 1
it 1
khoi 1
layers 1
letterbox 1
lifealtering 1
like 1
lives 1
location 1
love 1
major 1
master 1
modern 1
mysterious 1
near 2
not 1
novel 1
of 6
only 1
own 1
past 1
pivotal 1
plettenberg 2
psychology 1
reaching 1
returned 1
revealing 1
shellshock 1
site 1
society 1
south 1
story 2
student 1
suffering 1
that 1
the 12
this 1
through 1
to 4
town 1
travels 1
trekboer 1
trenches 1
vicky 2
war 1
watts 1
western 1
what 1
when 1
who 1
working 1
young 1
