1666521
/m/05lxf1
/m/05lxf1
Shelagh Delaney


1 1
a 31
able 1
about 6
act 2
advice 1
afford 1
after 6
again 1
against 1
agrees 1
all 2
alone 2
also 2
alternating 1
although 4
ambiguously 1
an 3
and 47
angry 1
another 1
antagonise 1
any 1
apologises 1
apparently 1
are 4
arisen 1
around 1
art 2
as 4
asked 1
asks 4
asleep 1
assumes 2
at 5
attacked 1
attacking 4
attend 1
away 2
baby 5
back 2
bar 1
basic 1
be 4
because 2
been 5
before 2
begins 1
begun 1
behaves 1
being 1
between 4
bit 1
black 4
blaming 1
both 4
bought 1
boy 1
boyfriend 6
bright 1
bursts 1
but 5
by 9
can 2
cannot 1
catches 1
change 1
characters 1
christmas 3
clothes 1
cold 1
colour 1
come 2
comes 2
company 2
complex 1
concern 2
confirming 1
confrontational 1
confrontations 1
consists 1
consoled 1
consoling 1
constantly 1
contacted 1
conversation 1
couch 1
criticises 1
darkness 2
daughter 5
day 2
decides 1
defends 1
deficiencies 1
depressed 1
despite 1
develop 1
dialogue 3
does 1
doing 1
doll 1
drawings 2
drink 1
drinker 1
drunk 1
due 1
during 1
each 1
earn 1
earnest 1
earnings 1
effeminate 1
effort 1
elsewhere 1
enters 3
escape 1
even 1
evenings 1
evolves 2
exaggerating 1
experience 1
explains 1
exposition 1
fact 2
father 4
feeling 2
few 1
first 3
flat 4
flings 1
for 11
former 1
four 1
frequently 1
friendly 1
from 9
funfair 1
funny 1
gay 1
geoff 14
get 2
girl 1
given 2
gives 1
glimpse 1
going 3
gone 1
good 1
ground 1
guesses 1
had 4
half 1
handling 1
hangs 1
happily 1
happiness 1
happy 1
has 10
have 4
having 2
he 13
helen 32
her 38
here 1
hesitation 1
hide 1
him 16
himself 1
his 4
home 2
hostile 1
how 2
however 2
hums 1
hurries 1
idea 1
immoral 1
in 23
indifference 1
information 1
informs 1
inquisitiveness 1
insensitive 1
inside 1
insisting 1
instead 1
interdependent 1
interest 1
interfere 1
interrupted 1
into 1
invites 1
irritable 1
is 24
it 5
its 1
jo 44
job 1
joking 1
jokingly 1
just 1
keep 1
kisses 1
knowledge 1
labour 1
lack 1
landlady 1
later 1
learn 2
learns 2
leave 3
leaves 2
leaving 1
less 1
lighthearted 1
likes 1
little 1
lives 1
living 2
lodgings 1
look 2
loses 1
love 1
lovers 1
luggage 1
made 1
main 1
makes 2
maliciously 1
man 1
marks 1
married 1
marry 6
marrying 3
meetings 1
mental 1
minutes 1
misses 1
mistaken 1
moment 3
momentary 1
moments 1
money 5
months 2
more 4
most 2
motherhood 1
moved 1
moving 2
much 1
naturally 1
navy 1
neck 2
nerves 1
never 2
next 2
nonetheless 1
not 8
now 2
occasion 1
occasional 1
of 25
off 2
offends 1
offer 1
offering 1
often 1
old 2
on 6
one 3
only 2
or 4
order 3
originality 1
other 3
others 2
out 4
outburst 1
outside 1
over 1
overwhelming 1
own 2
pains 1
parts 1
parttime 1
pass 1
passage 1
past 1
patiently 1
pattern 1
pause 1
pesters 1
peter 10
pieces 1
place 1
places 1
plans 1
pleasure 1
point 1
possibly 1
practise 1
pregnancy 1
pregnant 1
present 1
presents 1
pretends 1
probably 1
problems 1
prostitute 1
provokes 1
pub 1
puritan 1
pyjamas 1
quarrel 1
quite 1
rather 1
real 2
realised 2
really 1
reason 1
reassurance 1
reassures 1
regular 1
rejects 1
relationship 3
rent 1
retarded 1
returns 1
rid 1
ring 2
round 1
rudely 1
runs 1
rushes 1
same 1
sang 1
says 1
scene 3
scenery 1
school 4
scolds 1
second 2
secret 1
see 4
seeking 1
seem 1
sees 1
semiserious 1
sequence 1
settle 1
several 1
sexual 3
sexuality 1
shabby 2
she 30
ship 1
shoe 1
shop 1
shopping 1
shortlived 1
shows 2
since 2
six 1
sleeping 1
so 2
some 2
something 1
stage 2
start 1
stay 3
still 1
strong 1
student 1
suggests 1
surprise 1
suspected 1
takes 2
talent 1
tea 1
tear 1
teenage 1
that 20
the 44
their 1
them 1
then 3
they 4
thinking 1
this 4
thought 1
three 1
through 1
thrown 2
thus 2
time 2
to 33
told 1
too 2
training 1
tries 1
true 1
truly 1
truth 1
tune 1
turn 1
two 3
under 1
until 1
up 1
upset 1
us 1
very 3
violently 1
wakes 1
walking 1
want 1
wants 1
was 3
we 6
wedding 3
weeps 1
when 4
whenever 1
which 1
while 2
who 2
why 1
will 5
wishes 1
with 13
within 1
without 1
womanhood 1
women 2
works 1
wrong 1
yet 1
young 1
younger 1
