22449968
/m/05zjvwl
/m/05zjvwl
Barbara Kingsolver
2000
{"/m/05hgj": "Novel"}
a 5
acknowledgments 1
against 1
also 1
american 2
an 1
and 4
appalachia 1
as 3
at 1
backdrop 1
biological 1
biology 1
book 1
chestnut 2
concepts 1
deanna 1
display 1
dreams 1
during 1
ecological 1
education 1
exhibits 1
extensive 1
extinct 1
facts 1
family 2
farmwife 1
follows 1
foundation 1
fred 1
friends 1
garnett 1
grew 1
her 4
herbard 1
humid 1
husband 1
in 4
interweaving 1
is 1
kentucky 1
kingsolver 2
knowledge 1
laden 1
late 1
lineage 1
loss 1
love 1
lusa 1
lush 1
man 1
mountains 1
narrative 1
neighbors 1
odds 1
of 8
old 1
on 1
park 1
prodigal 1
ranger 1
restoring 1
rural 1
she 1
single 1
small 1
solitary 1
stories 1
story 1
summer 2
tells 1
thanks 1
the 8
this 1
three 1
tightknit 1
town 1
tree 1
unfold 1
up 1
virginia 2
well 1
when 1
where 1
who 1
widowed 1
wildness 1
with 2
woman 1
working 1
writing 1
