6777989
/m/0gnf6_
/m/0gnf6_
William Godwin

a 25
about 3
abruptly 1
accepts 1
account 1
accusations 4
accusers 1
administrator 1
admiration 2
admits 1
after 1
afterward 2
again 1
against 1
aged 1
agenda 1
all 3
also 1
alternate 1
although 2
among 1
an 3
and 36
anguish 1
another 1
are 1
argues 1
aristocrat 1
around 1
arrested 3
as 5
asks 1
aspects 1
at 3
attacked 2
attacker 1
attempts 3
authorities 1
band 1
banishes 1
barnabas 1
basis 1
be 6
became 1
become 1
been 2
before 2
behaviours 1
being 2
betrayed 1
between 1
bloodshed 1
boarding 1
book 1
both 1
brave 1
bribes 1
but 7
by 6
caleb 35
calebs 7
called 1
calling 1
came 1
can 3
captain 3
captors 1
capture 1
case 1
caught 1
cause 1
caused 1
citing 1
claiming 1
claims 1
collins 3
community 1
competing 1
competitor 1
compromises 1
concerned 1
concludes 2
condemn 1
conflict 1
confront 1
confronts 1
confused 1
considered 1
contented 1
continually 1
continues 1
controversial 1
convicted 1
convinced 1
convinces 2
could 1
country 1
court 6
criminal 1
criminals 2
current 1
death 2
debate 1
decides 1
defend 1
defended 1
deliberately 1
delirium 1
demeanor 1
denies 1
despite 1
details 1
did 1
died 1
dies 1
different 1
discover 1
disorganised 1
distrust 1
do 2
documented 1
does 2
doubts 1
each 1
early 1
editions 2
effectively 1
elevated 1
emily 1
emotional 2
ending 2
enemy 1
ensnared 1
erratic 1
escape 1
estate 3
esteem 1
evading 1
even 2
eventually 2
ever 1
evidence 1
executed 1
explains 1
explanation 1
exposed 1
face 2
fact 1
falkland 31
falklands 8
falklandtyrrel 1
feels 1
ferdinando 1
final 1
finally 2
finding 1
finds 2
firstperson 1
fits 1
flee 1
flees 1
for 13
forces 2
forcing 1
forgive 1
found 2
frail 1
fraudulent 1
freed 1
freedom 1
frequently 1
from 2
funeral 1
further 1
gather 1
gaunt 1
generally 1
generous 1
gines 1
go 1
gone 1
gradually 1
gravestone 1
group 2
groups 1
guilt 1
guilty 1
had 1
halfbrother 1
hanged 1
happiness 1
has 5
having 2
he 23
head 1
headquarters 1
her 1
here 1
him 9
himself 7
his 23
history 2
holland 1
hollow 1
household 1
however 4
humanity 1
humans 1
ideals 1
if 3
immediately 2
implying 1
impoverished 1
imprisoned 1
in 15
included 1
including 1
increase 1
incriminating 1
inmates 1
insolent 1
instead 1
into 2
intrigues 1
ireland 1
is 20
issue 1
it 1
jealousy 1
job 1
jones 7
jumps 1
justice 2
keeps 1
kill 1
knows 1
last 1
later 4
law 1
leave 1
lets 1
lie 1
lies 2
life 3
like 1
live 1
living 3
long 1
loved 1
ludicrous 1
mad 1
magistrate 2
make 2
makes 2
man 5
manipulated 1
manuscript 1
many 3
master 2
melviletyrrel 1
members 1
men 1
merely 2
mindset 1
missing 1
money 1
morality 1
more 2
move 1
movements 1
mr 2
murder 4
murdered 2
murderer 1
must 2
narration 1
narrator 1
neighbors 1
neighbour 2
next 1
niece 1
noble 1
none 1
not 5
noted 1
notorious 1
novel 2
now 3
obsessively 1
odd 1
of 38
offer 1
offering 1
officially 1
often 1
on 2
once 3
one 1
only 2
oppressed 2
oppressive 1
oppressor 1
or 3
original 1
orphaned 1
other 3
out 4
outbursts 1
outside 1
over 1
oversees 1
pages 1
part 1
particular 1
past 1
penalty 1
people 1
persuade 2
physically 2
point 1
poor 1
positive 1
power 2
prison 1
proceeds 1
promise 1
promptly 1
public 1
published 1
publishing 1
pursuit 1
put 1
puts 1
qualities 1
quiet 1
rage 1
rather 2
reads 1
reason 1
recapture 1
recently 1
recommended 1
refuses 1
released 1
remember 1
reputation 1
rescued 1
researches 1
reserved 1
respect 2
responds 1
responsible 1
restrictions 1
return 1
reveal 1
reveals 2
revenge 1
reward 1
righted 1
robbed 1
sadness 1
same 2
saviour 1
scene 1
scope 1
secretly 1
seem 1
seems 1
selfeducated 1
sends 1
sent 1
servant 1
services 1
ship 1
shortly 2
show 2
sides 1
silence 1
silences 1
silent 1
since 1
so 3
some 4
soon 1
stainless 1
state 1
still 1
stories 1
story 1
straighten 1
strange 1
stressing 1
subsequently 1
success 1
successfully 1
sudden 1
suddenly 1
summon 1
supplies 1
surveillance 1
suspect 1
suspicious 1
sympathiser 1
taken 1
takes 1
tell 1
temper 1
tenants 2
than 2
that 17
the 50
then 2
thereafter 1
these 1
they 1
thief 1
thieves 2
this 2
though 3
threatens 1
through 1
time 2
to 35
told 1
tools 1
track 1
travel 1
trial 1
tries 1
true 2
try 1
turbulent 1
turns 1
two 4
tyrannical 2
tyrell 2
tyrrel 6
ultimately 2
under 2
unfairly 1
unfounded 1
universality 1
up 2
use 1
vengeful 1
venturing 1
version 1
vicious 1
vindicates 1
voice 1
voices 1
wales 1
wanted 1
warden 1
warning 1
was 5
wavering 1
wealthy 1
were 1
what 1
when 3
whereabouts 1
whether 1
which 2
while 1
who 4
whom 1
wild 1
wilderness 1
will 2
williams 1
with 7
witnesses 1
wretched 1
writing 1
wrongs 1
young 1
