12737756
/m/02x2qnx
/m/02x2qnx
David Clement-Davies
2000
{"/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature"}
a 4
ability 1
accompanied 1
all 2
among 1
an 2
ancient 1
and 13
animals 2
antlers 1
are 1
as 1
bankfoot 1
be 1
bearer 1
bears 1
begins 1
between 1
bhreac 1
bore 1
born 2
bracken 1
brechin 1
bring 1
bucks 1
but 1
by 5
called 1
choose 1
communicate 1
companions 1
deer 5
doe 1
drail 2
drilling 1
each 1
eloin 1
end 1
escapes 1
father 1
fear 1
for 2
forehead 2
freedom 2
from 1
future 2
great 1
growing 1
has 2
have 1
having 1
he 7
healer 1
herd 5
herds 1
herla 2
him 1
his 6
holds 1
in 5
is 4
it 1
killed 1
knows 1
laid 1
leadership 1
leaf 1
life 1
lord 2
make 1
making 1
mark 4
meaning 1
militarized 1
mother 2
mothers 1
murdered 2
must 1
night 1
no 2
not 1
now 1
oak 2
of 11
old 1
on 2
order 1
ordinary 1
other 1
out 2
outside 1
peppa 1
permanent 1
poses 1
power 1
promised 1
prophecy 3
protect 1
quiach 1
rannoch 6
real 1
realizes 1
red 1
reign 1
resembling 1
resistance 1
return 1
scars 1
scotland 1
servant 1
sgorr 3
sharpen 1
special 1
stags 1
stated 1
story 2
storyteller 1
struggles 1
tain 1
take 1
taken 1
terror 1
that 3
the 31
their 2
them 1
this 2
thistle 1
threat 1
to 8
training 1
tricked 1
twins 1
unite 1
up 1
wants 1
was 3
white 2
who 3
will 1
willow 1
with 2
world 1
would 2
young 1
