1708112
/m/05q1lg
/m/05q1lg
Jeffrey Archer

{"/m/02xlf": "Fiction"}
12 1
140s 1
31 1
a 17
about 2
accident 1
acquaintances 1
actions 1
after 5
agree 1
agrees 1
all 2
alongside 1
also 3
although 1
always 2
among 1
an 1
and 17
andrew 1
annie 1
another 1
appointed 1
archer 1
are 4
as 8
aspects 1
at 5
attending 1
banker 1
be 1
because 1
becomes 2
before 2
begin 1
best 1
between 2
birth 2
blood 3
book 2
born 2
both 5
brother 1
brothers 2
but 3
by 7
call 1
called 1
can 1
car 1
cartwright 2
chapter 1
charge 1
child 2
choose 1
cinematic 1
clinic 1
clues 1
coin 3
college 2
comment 1
common 1
complete 1
computer 1
confirmed 1
congratulate 1
congratulated 1
connecticut 4
connects 1
consequence 1
continue 1
cot 1
counting 1
couple 2
criminal 1
cross 1
currency 1
davenport 2
day 3
days 1
dead 1
death 1
decide 1
deduct 1
defend 1
defense 1
definitely 1
democratic 1
dies 1
distinguishes 1
doctor 1
documents 1
donates 1
dont 1
dotsuntil 1
during 3
each 3
efforts 1
elected 1
election 2
elliot 2
end 2
enemies 1
equals 1
even 1
ever 1
existence 2
fall 1
falls 1
family 1
fatal 1
finally 1
find 1
finds 1
finishes 1
first 2
fletcher 15
fletcherin 1
follow 1
for 7
fortune 1
four 1
friend 1
from 1
girldiance 1
girlfriend 1
goes 1
got 1
governor 4
graduated 1
graduation 1
grow 1
grown 1
guess 1
had 1
hartford 1
has 1
having 1
he 7
heads 3
headshttpstwittercomjeffreyarcherstatus2084702444643328 1
hero 1
himself 1
his 13
home 1
honor 1
hospital 1
hospitalized 1
hostage 1
however 1
identical 1
illegal 1
immigrant 1
in 16
incidents 1
information 1
insurance 1
interconnected 1
is 7
it 2
jeffrey 1
keep 2
know 1
knowing 2
korean 1
late 1
lawyer 1
lead 1
leaking 1
leaves 1
left 2
life 1
liked 1
lingan 1
link 1
lives 1
love 2
machinations 1
man 1
marries 2
mayor 5
meanwhile 1
medal 1
meet 2
meets 1
members 1
men 2
millionaire 3
ministership 1
motherinlaw 1
multi 1
multimillionaire 1
murdering 1
must 1
mutually 1
nat 7
nemesis 1
never 1
new 1
no 1
not 1
now 1
nurse 2
obstetrician 1
occur 1
of 23
on 5
one 3
only 2
opponent 1
opposed 1
other 2
others 1
owing 1
parents 1
parted 1
parties 1
party 1
paths 2
personal 1
peter 1
picks 1
place 1
plot 2
politicians 1
potentially 1
power 1
previous 1
primary 1
prime 1
ralph 2
rare 1
received 1
regarding 1
represent 1
republican 1
reputation 1
result 1
returns 1
revealed 1
reveals 2
right 3
rounds 1
run 2
said 2
salesman 1
same 3
save 1
saving 1
saying 1
school 4
secret 2
secrethowever 1
secretly 1
senator 1
separate 1
separated 1
serve 1
set 1
several 2
share 1
she 1
sight 1
similarities 1
sister 1
situation 1
slept 1
so 1
society 1
son 2
sons 1
specific 1
stand 1
starts 1
state 1
still 3
struggle 1
su 1
successful 1
such 1
suicide 1
suspicons 1
switched 1
switches 1
taken 1
talks 1
teacher 1
teens 1
that 8
the 62
their 8
them 1
themselves 1
then 2
they 8
this 2
through 1
tied 1
time 1
to 19
too 1
toss 5
truth 1
turned 1
turns 1
twin 2
twins 4
twist 1
twitter 1
two 3
type 1
uk 1
ultimately 1
unaware 1
university 2
untrustworthy 1
up 3
vietnam 2
votes 1
war 2
was 6
well 1
went 1
were 1
when 5
where 1
which 2
whiz 1
who 6
whom 2
wife 2
winner 2
wins 1
with 5
without 1
wives 1
wrote 1
yale 1
years 2
yet 1
