11008696
/m/02qxzkz
/m/02qxzkz
Cristina García
1992
a 44
abusive 1
after 11
aftermath 1
afterwards 1
again 5
against 2
age 1
almeida 1
almost 1
amends 1
americanfriendly 1
an 1
and 55
apologize 1
apparent 1
appears 1
are 5
arrived 1
artist 1
as 10
ask 1
at 8
attacked 1
attempt 1
attempts 2
attends 1
auxiliary 1
away 3
bakery 3
be 2
become 2
becomes 11
becoming 2
before 1
begins 3
behalf 1
belief 1
best 1
bid 1
biochemistry 1
birth 4
blames 1
boarding 1
body 1
bonded 1
born 2
botnica 1
boys 1
briefly 1
brigade 1
brings 1
brito 1
burial 1
burning 1
business 2
but 10
buys 1
by 4
called 1
cancer 1
cannot 1
care 1
cares 1
carry 1
caught 1
causes 1
celia 15
celias 1
cheating 1
child 3
children 2
city 3
claim 1
close 1
closely 1
closer 1
come 1
condition 1
constant 1
consummate 1
continues 1
couple 1
course 1
court 1
courts 1
cousins 1
cream 1
crowd 1
cruel 1
cuba 6
cuban 2
czech 1
czechoslovakia 1
daughter 7
daughters 2
day 4
days 1
death 2
debatable 1
defectors 1
defends 1
del 2
departs 1
depression 1
descends 1
desire 1
deteriorates 1
develops 1
devotee 1
did 2
die 1
dies 3
different 2
disappearance 1
disapproval 1
disapproves 1
discovers 3
dislike 1
distanced 1
distant 1
do 2
does 1
drifts 1
drive 1
dropping 1
drops 2
drugged 1
due 1
during 1
edge 1
eight 1
el 3
electrical 1
electrocuted 1
eleven 1
embassy 1
embraces 1
enamored 1
encounters 1
enough 1
ernesto 1
estate 1
even 1
eventually 3
evidence 1
exactly 1
extremely 1
face 1
fade 1
fades 1
fails 2
falls 4
family 4
far 1
farewell 1
father 5
fathers 2
fault 1
feeling 1
felicia 17
felicias 7
final 1
finally 1
find 2
finds 2
fire 1
first 1
fit 1
flees 2
fond 1
food 1
for 15
forgive 1
forward 1
found 1
four 1
frantically 1
friend 1
from 6
full 1
fully 1
gets 1
girl 1
give 1
gives 5
glimpses 1
go 2
goes 3
gone 1
government 2
gradually 2
grandmother 1
great 1
grow 1
grows 1
gunpoint 1
gustavo 4
hall 1
has 8
havana 2
have 1
having 1
he 17
health 2
heartbreak 1
help 2
her 47
herself 5
high 2
him 8
his 24
holding 1
home 7
honeymoon 1
horse 1
hospitalized 1
house 2
housebound 1
how 1
hugo 5
husband 1
ice 1
identity 1
ideologically 1
illness 2
immediately 2
impregnate 1
in 22
institution 1
instructs 1
into 3
intolerable 1
inventions 1
irinita 1
is 29
it 5
items 1
ivanito 7
javier 5
jealousy 1
job 2
join 2
jorge 8
jorges 1
judge 1
just 3
kill 2
knifepoint 1
known 1
lack 1
lands 1
last 1
later 5
lder 3
learns 1
leave 2
leaves 4
left 1
liberty 1
life 5
listens 1
live 2
lives 2
living 1
local 1
long 1
lose 1
loses 1
losing 1
lourdes 21
love 2
lovers 1
luz 2
made 1
madness 1
make 3
makes 1
man 3
manages 2
many 1
mar 1
married 4
marries 2
marry 1
marrying 1
meanwhile 2
medical 1
meets 3
memory 1
mental 3
mentally 1
miami 3
milagro 2
military 1
mind 1
money 1
months 3
more 1
mother 14
mothers 2
much 1
mural 1
must 1
named 8
names 1
needs 1
nephew 1
never 1
new 6
newly 1
next 1
night 1
no 2
north 1
not 5
ocean 3
of 25
off 1
oldest 1
on 10
once 1
one 5
only 1
onto 1
opening 1
or 1
oral 1
otto 1
out 6
over 3
paint 1
paints 2
paraphernalia 1
parents 1
park 1
past 1
paths 1
peace 1
peoples 1
perform 1
performing 1
performs 1
persuades 1
peruvian 1
physically 1
pilar 14
pino 1
place 1
point 1
policewoman 1
portrait 1
prefers 1
pregnancy 1
pregnant 3
presence 3
priest 1
priestess 1
professor 1
property 1
proprietor 1
puente 4
punishing 1
punk 2
purchase 1
pushed 1
rag 2
ranch 1
rapes 1
reach 1
reaches 1
reasons 1
rebelling 1
rebellion 1
recovers 2
regularly 1
relationship 1
released 1
resent 1
resist 1
resolves 1
result 3
return 3
returning 1
returns 4
reveals 1
revolution 4
revolutionary 1
ride 2
riding 1
ritual 2
rufino 4
run 1
runs 1
santa 1
santera 5
saving 1
says 1
scares 1
school 2
science 1
sea 1
second 4
see 1
seeking 1
seen 1
sells 1
sends 1
sent 2
seven 1
sex 2
shares 1
she 41
should 1
sister 2
six 1
sleeping 1
snapped 1
so 3
soldiers 4
son 3
soon 4
sort 1
spain 1
spaniard 1
speaking 1
spends 2
spirit 2
spite 1
sporadic 1
stability 1
stands 1
state 1
statue 1
stereotypical 1
still 1
stomach 1
store 1
stories 1
story 1
successful 1
support 2
supports 2
syphilis 1
take 1
taken 1
takes 2
taking 1
talent 1
tasks 1
teenage 1
telling 1
tells 1
teresa 1
that 11
the 57
their 7
then 2
there 1
they 9
this 1
though 3
three 1
thrown 1
thus 2
time 5
times 1
to 62
too 1
travels 1
treatment 1
tries 3
trips 1
turns 1
twin 1
twins 1
two 3
unable 1
unbeknownst 1
unclear 1
understand 1
university 1
unknown 1
until 4
unveiling 1
unwell 1
up 5
us 1
vanishes 3
variety 1
very 1
views 1
villaverde 1
wakes 1
walks 1
wanders 1
was 1
wastes 2
way 1
wealthy 1
wedding 1
well 1
when 8
where 3
whether 1
which 1
while 10
who 5
wide 1
wife 2
will 2
wires 1
with 11
without 2
woman 1
words 1
work 1
working 1
world 1
years 5
york 4
young 1
youngest 1
