12911245
/m/02xclqy
/m/02xclqy
Dan Gutman
2000
132 1
a 6
about 1
after 1
almost 2
along 2
an 1
and 8
as 1
assassin 1
assassination 1
assumes 1
attempt 1
away 1
babe 7
back 1
baseball 1
baseballs 2
because 2
bunch 1
but 2
by 2
call 1
called 1
care 1
come 1
confiscated 1
dad 6
did 1
discovers 1
do 2
doesnt 1
elected 1
ends 2
find 1
franklin 1
from 1
fulfilling 2
game 3
gets 2
getting 1
go 1
goes 1
got 2
gotten 1
guards 1
guy 1
happens 1
has 2
he 5
him 6
his 9
hits 1
holocaust 1
home 2
hopeful 1
however 1
in 4
invites 1
joe 9
just 2
keep 1
killed 1
knife 1
laid 1
later 1
league 1
little 1
make 1
meeting 1
mirroring 1
mom 1
money 1
month 1
never 1
next 1
of 2
off 1
out 1
per 1
potential 1
present 1
president 1
presidentential 1
quality 1
really 1
request 1
return 1
reunited 1
right 1
roosevelt 1
run 2
ruth 7
sack 1
safe 1
saved 1
security 1
see 1
sees 1
series 1
shot 2
sign 1
signed 1
so 1
some 2
something 1
somewhat 1
son 1
spend 1
stands 1
stoshack 3
tags 1
take 1
that 4
the 6
then 3
they 2
time 2
to 12
tries 1
try 1
up 2
walkoff 1
wanted 2
warn 1
was 1
watching 1
were 1
what 2
whether 1
who 1
with 4
world 1
