4533526
/m/0c7k6x
/m/0c7k6x
Patricia Cornwell
1990
11 3
a 17
abby 1
about 1
admit 1
after 1
all 1
among 1
an 3
and 9
another 1
appear 1
appears 1
are 1
article 1
as 5
at 2
attempt 1
attempting 1
attempts 1
attention 1
attorney 1
available 1
awakened 1
based 1
be 3
bedroom 1
been 1
behind 1
believing 1
bemoan 1
benton 1
better 1
between 1
body 1
book 1
briefly 1
broken 1
bursts 1
but 1
by 2
call 1
called 1
characters 1
chief 1
chose 1
clues 1
coming 1
commonwealth 1
compromised 1
conspire 1
correct 1
could 1
criminal 1
database 2
deal 1
department 1
despite 1
detective 1
discovers 1
disease 1
disordered 1
dispatcher 1
distinctive 1
dna 2
dr 1
due 1
during 1
earlymorning 1
ego 1
especially 1
evidence 2
examiner 2
extremely 1
fbi 1
few 1
fifth 1
find 1
five 2
fluoresces 1
flush 1
for 2
forced 1
fourth 1
from 2
given 1
gruesome 1
gun 1
had 1
has 5
having 1
her 5
him 2
his 2
home 1
homicide 1
hoping 1
husband 1
implies 1
in 5
initial 1
insistence 1
intended 1
into 2
intruder 1
investigation 1
investigative 1
is 3
kay 1
kept 1
killer 8
lack 1
laser 1
last 1
latest 1
leads 1
leaks 2
leaves 1
life 1
light 1
likely 1
link 1
local 2
lucy 1
make 1
marino 4
may 1
meanwhile 1
media 1
medical 2
meets 1
mentally 1
metabolic 1
middle 1
murder 1
murders 3
must 1
mysterious 1
nearby 1
new 1
news 3
niece 1
night 1
novel 1
odor 1
of 10
office 2
on 2
opens 1
operator 1
otherwise 1
out 1
personal 1
pete 1
piece 1
point 1
police 2
position 1
precocious 1
presence 1
profile 1
profiler 1
profiling 1
protection 1
proves 1
provide 1
provoking 1
rare 1
reach 1
realized 1
receives 1
recently 1
references 1
relationship 2
relatively 1
release 1
reporter 1
richmond 2
romantic 1
scarpetta 11
scene 1
semen 1
sergeant 1
series 1
she 5
shoots 1
sister 1
smell 1
sometime 1
source 1
state 1
story 1
strangling 1
string 1
substance 1
suggests 1
suspects 3
suspicion 1
target 1
technique 1
tense 1
tenyearold 1
that 7
the 30
their 1
them 1
threaten 1
thrives 1
to 13
together 1
traces 1
turnbull 1
uncertain 1
under 1
unsolved 1
unusual 1
vicinity 1
victim 2
victims 2
virginia 1
voices 1
was 2
well 1
wesley 2
which 3
while 1
who 1
whom 1
whose 1
with 4
within 1
woman 1
work 1
working 1
would 1
