2688466
/m/07y2f7
/m/07y2f7
Carrie Fisher
2004-01
{"/m/012jgz": "Autobiographical novel", "/m/02xlf": "Fiction"}
a 16
ability 1
about 1
actress 1
addict 1
aging 1
all 1
an 1
and 7
are 1
artist 1
as 1
at 2
back 1
best 1
bin 2
bipolar 1
break 1
brink 1
broken 2
but 1
clinically 1
coconspirators 1
company 1
contrived 1
craziness 1
daughter 2
depressed 1
despite 1
disorders 1
down 1
drug 1
ending 1
entered 1
episode 1
even 1
every 1
executive 1
exhusband 1
facts 1
farflung 1
find 2
flying 1
for 4
found 1
franklin 1
friend 1
from 2
gay 1
girl 1
goes 1
going 1
good 1
group 1
guest 1
happiness 1
happy 1
has 1
he 1
helped 1
her 9
hide 1
highlight 1
hit 1
honey 3
hospital 1
hostess 1
house 1
humor 1
illness 1
in 4
inhabitants 1
insanity 1
into 1
irony 1
is 7
it 2
keeps 1
lands 1
lanes 1
later 1
latest 1
left 1
leland 1
like 1
little 2
loflung 1
looked 1
loony 1
love 1
lower 1
man 1
manic 1
married 1
medication 1
mental 2
met 1
midst 1
more 1
mother 1
new 1
now 1
of 4
office 1
old 1
on 2
once 1
other 2
oxycontin 1
pathetic 1
patient 2
people 1
pharmacological 1
plunged 1
psychopharmacologist 1
psychotic 1
rather 1
recovering 1
revealed 1
scenes 1
search 1
self 1
serves 1
shady 1
shared 1
she 5
show 1
situation 1
six 1
some 1
starlet 1
still 1
stops 1
struggles 1
studio 1
successful 1
suzanne 1
sweet 1
taking 1
talk 1
tattoo 1
than 2
that 1
the 10
their 2
them 1
then 1
therapy 1
thing 1
those 1
three 2
tijuana 1
to 3
truths 1
tv 1
vale 6
was 1
when 2
where 1
who 2
wit 1
with 2
year 1
years 1
you 3
young 1
your 1
