6586469
/m/0gcr99
/m/0gcr99
Henry Fielding
1751
1 1
1733 1
a 8
about 1
absence 1
accident 1
accrues 1
addition 1
after 1
again 1
against 1
along 1
also 1
although 1
amelia 8
an 1
and 8
anything 1
army 1
as 3
at 1
attentions 1
autobiographical 1
away 1
beautiful 1
behalf 1
being 1
believed 1
between 1
book 2
booth 4
brings 1
but 2
by 4
captain 1
carriage 1
changes 1
chapter 2
charlotte 1
completely 1
contains 3
contrast 1
country 1
couple 4
craddock 1
dashing 1
debt 1
debtors 1
debts 1
describes 1
dialogue 1
discovers 1
dispute 1
doctor 1
doctors 1
domestic 1
draws 1
during 2
edition 2
elements 1
faithful 1
fielding 1
finds 1
forgives 1
gambling 1
glastonbury 1
hardships 1
he 2
heiress 1
her 5
him 1
himself 1
his 1
ii 2
imprisoned 1
in 8
into 1
is 8
it 3
jokes 1
largely 1
lift 1
london 2
many 2
married 1
marries 1
matthews 2
men 1
miss 2
modeled 1
mother 2
new 1
newgate 1
newly 1
nose 2
novel 2
of 4
officer 1
on 2
out 1
own 1
paid 1
passages 1
place 1
poverty 1
praise 1
prison 1
refuses 1
regard 1
released 1
remarking 1
removed 1
repairs 1
resists 1
retires 1
revealed 1
ruined 1
run 1
scene 1
second 1
sections 1
seduced 1
settled 1
several 1
she 2
soon 2
stays 1
subsequently 1
such 1
suffered 1
surgery 1
taking 1
talking 1
text 1
that 5
the 13
them 1
then 1
this 2
time 1
to 8
transgression 1
trouble 1
trying 1
unjustly 1
various 1
was 4
waters 1
where 1
which 1
whole 1
widely 1
wife 1
william 5
wishes 1
with 1
young 2
