10254189
/m/02q6lcj
/m/02q6lcj
Enid Blyton
1945
{"/m/02n4kr": "Mystery", "/m/08sdrw": "Adventure novel"}
a 7
after 1
also 1
and 11
appears 1
are 6
as 2
ash 1
at 4
barlingwho 1
be 2
bedrooms 1
been 1
before 1
being 1
big 1
block 1
boys 1
but 4
butler 1
can 1
cant 2
castaway 1
children 3
come 1
coming 1
cottage 2
days 2
deaf 1
decides 1
destroys 1
dick 1
disappear 1
discovery 1
dog 2
doors 1
down 1
even 1
falls 1
father 1
few 2
find 2
finds 1
first 1
five 3
flashing 1
floor 1
for 3
friend 1
friendmr 1
from 1
garden 1
george 1
get 1
go 3
happily 1
have 1
he 2
help 1
her 1
hide 1
hill 3
him 1
his 1
holidays 1
honeycomb 1
house 3
hunt 1
in 5
inside 1
into 1
invites 1
is 5
it 1
julian 1
kidnapped 1
kirrin 2
know 1
lenior 1
lenoir 3
lights 1
lost 1
man 1
many 1
might 1
mr 3
mysterious 1
mystery 1
named 1
network 1
night 2
now 1
of 6
on 1
one 3
open 1
or 1
out 1
over 1
passages 4
puzzled 1
quentin 5
quite 1
refuses 1
repaired 1
rich 1
scientist 1
secret 3
she 1
signal 1
situated 1
smuggler 2
smugglers 3
so 1
solve 1
some 1
someone 1
sooty 6
sort 1
stay 2
staying 1
stepson 1
stone 1
sure 1
suspect 1
suspected 1
suspects 1
take 2
that 4
the 21
then 1
there 3
these 1
they 5
this 1
timmy 3
to 8
top 5
towers 1
tree 1
uncle 5
underground 1
unexpectedly 1
until 1
up 1
visits 1
wake 1
was 1
where 1
which 1
while 1
who 1
with 1
