10934094
/m/02qvfwl
/m/02qvfwl
Hannes Bok
1970
{"/m/01hmnh": "Fantasy"}
a 9
accompany 1
accordance 1
agrees 1
alteration 1
an 1
and 5
another 2
are 1
ascending 1
assistance 1
be 1
beast 1
become 1
being 1
blue 2
burks 4
by 4
can 1
carlotta 2
caught 1
cellmate 1
certain 1
changed 1
consumed 1
crystal 1
day 2
defended 1
denizens 1
each 1
encounter 1
engineered 1
everglades 2
exposes 1
extending 1
fallen 1
find 2
flamingo 2
florida 1
for 1
forcing 1
four 1
gain 1
girlfriend 1
golden 1
guardian 1
having 1
he 2
help 1
hibbert 3
him 1
his 2
hope 1
horrible 1
huge 1
imprisoned 1
in 5
innocent 1
into 1
is 4
its 1
jailbreak 1
khoire 4
killed 1
land 1
leads 1
leave 1
little 1
love 1
make 1
man 2
mareth 1
mask 1
means 1
miraculous 1
mundane 1
must 1
mysterious 1
named 1
nature 1
natures 1
of 10
on 1
one 1
own 1
paradise 1
patur 1
persons 1
picking 1
place 1
pool 2
readmittance 1
readmitted 1
returning 1
scarlatti 4
sky 1
some 1
stairway 2
strange 1
taking 1
that 1
the 15
them 3
there 1
they 3
those 1
to 7
transformed 1
true 1
undertakes 1
up 2
warns 1
watchers 1
way 1
which 1
who 1
will 1
with 3
within 1
world 1
