288407
/m/01qbnq
/m/01qbnq
William Shakespeare

2 1
a 18
ablebodied 1
about 1
achieve 1
acknowledgment 1
act 1
action 1
adding 1
affairs 2
after 5
against 1
alarmed 1
all 1
allows 1
alone 1
also 1
amend 1
amount 1
an 2
and 49
angry 1
archbishop 2
are 2
as 6
associates 1
at 8
attacked 1
awaiting 1
background 1
bardolph 1
battle 8
be 2
because 1
been 1
begin 1
behaviour 1
being 2
believes 1
berates 1
body 1
bolingbroke 3
borders 1
born 1
brawler 1
brewing 1
broils 1
brother 1
brought 1
but 8
by 12
calls 1
cankered 1
cannot 1
captivates 1
cause 2
causes 1
center 1
chance 2
change 1
characters 1
charge 1
charisma 1
chief 2
claims 2
cleanly 1
climax 1
close 1
colours 1
combat 1
come 3
comedy 1
command 1
common 1
companions 2
corpse 1
corrupt 1
council 1
court 2
credit 1
crucial 1
crusade 1
damnably 1
dangerous 1
day 1
dead 1
deal 1
death 1
decided 1
decisive 1
depose 1
despair 1
disguise 1
disquiet 1
disreputable 1
dissolute 1
do 2
doubt 1
douglas 4
drinking 1
drunk 1
during 1
earl 3
earls 1
early 1
earn 1
edmund 3
embodied 1
ending 1
ends 1
enemies 1
enemy 1
energetically 1
engine 1
enjoys 1
evade 1
even 1
execute 1
exploits 1
fact 1
falstaff 11
family 1
fat 1
father 3
field 1
fight 3
finally 2
first 3
foil 1
food 2
foot 1
for 11
forces 3
former 1
forsaken 1
friend 2
friends 2
from 3
fun 1
future 2
gains 1
given 2
gives 2
glendower 4
glory 1
goes 1
grace 1
greater 1
greatest 1
greatly 1
grim 1
group 2
groups 1
guilt 1
hal 14
harried 1
harry 1
harrys 1
has 6
have 4
having 2
he 12
heads 1
heart 1
heir 2
helped 1
henry 11
here 1
high 3
highway 1
hill 1
him 10
himself 2
his 31
history 1
holds 1
holmedon 1
holy 1
hope 1
hotspur 11
humbleton 1
hypocritical 1
if 1
ii 2
immediate 1
in 19
including 1
incredulous 1
infantry 1
informs 1
ingrate 1
instead 1
insulting 1
intending 1
interact 1
into 3
is 18
issue 1
it 2
iv 2
john 2
join 1
joined 1
joining 1
joking 1
journey 1
just 1
keeping 1
kill 2
killed 1
killing 1
king 11
kingdom 1
kingly 1
knight 1
land 2
later 1
leads 1
least 1
leaves 1
led 1
lie 1
life 3
like 1
likes 1
live 1
lives 1
living 1
longer 1
loot 1
low 3
loyalty 1
make 1
makes 4
manage 1
manner 1
march 1
meanwhile 1
meet 1
members 1
men 1
mercy 1
miracle 1
mishandling 1
mistreat 1
misused 1
mock 1
money 2
moreover 1
mortal 1
mortimer 7
most 1
murder 1
muslims 1
must 1
needs 1
next 1
no 2
noble 1
nobleman 1
nobles 1
northumberland 4
not 2
now 3
object 1
of 39
off 1
old 1
on 6
one 3
only 1
opens 1
or 1
orders 2
other 1
others 1
out 1
outcome 1
outnumbers 1
over 1
owen 2
own 1
paint 1
part 2
percy 4
percys 2
peremptory 1
personal 1
peto 1
pieties 1
place 1
play 6
plays 1
pleased 1
plot 1
poins 2
poor 1
possum 1
poundfoolish 1
powder 2
powers 1
praise 1
predecessor 1
press 1
presumed 1
pretense 1
prevail 1
prevails 1
prevent 1
previously 1
prince 5
princeship 1
prisoner 1
prisoners 1
proceed 2
proclaimed 1
purely 1
question 1
quickly 1
ransom 2
rather 1
reassume 1
rebel 1
rebellion 2
rebels 4
recent 1
refuses 1
refusing 1
reign 1
released 1
report 1
respect 1
returns 1
revives 1
revolt 1
reward 1
richard 2
rightful 2
riotous 1
rob 1
robbery 1
rogues 1
royal 2
rudeness 1
scorn 1
scot 1
scotland 1
scots 2
scottish 1
see 2
seeing 1
seriousness 1
service 1
sets 1
share 1
should 1
showing 1
shows 1
shrewsbury 5
single 1
sir 2
site 1
slightly 1
solved 1
some 1
son 2
soon 2
souls 1
sport 1
stabs 1
stage 1
standoff 1
state 1
states 1
still 1
stolen 2
streetwise 1
stung 1
success 1
sudden 1
take 1
taken 3
taking 1
tavern 1
taverns 1
terrify 1
that 8
the 84
their 2
them 1
themselves 1
then 1
there 2
these 1
they 4
thigh 1
third 1
this 7
thomas 2
though 2
threats 1
three 2
throne 1
through 1
time 2
to 25
together 2
treated 1
treats 1
tricks 1
troops 1
troubles 1
turn 1
two 2
ultimately 1
uncle 1
under 1
unquiet 1
unsettled 1
unspecified 1
up 1
us 1
usually 1
v 1
valiant 1
valor 1
very 1
victory 1
vows 1
wages 1
wales 2
wants 1
war 1
warrior 1
waste 1
watching 1
way 2
we 1
wears 1
welsh 1
welshman 2
were 1
when 2
where 1
which 1
who 6
whoring 1
wife 1
wild 2
will 5
wished 1
with 14
without 1
worcester 3
world 1
worthiness 1
worthy 1
would 2
york 2
young 1
zest 1
