8715021
/m/027f_47
/m/027f_47
Georgette Heyer
1941
{"/m/01qxvh": "Romance novel"}
an 2
and 1
aunt 1
beautiful 1
but 1
by 1
contracting 1
cousin 1
deborah 2
decides 1
determined 1
eventually 1
exploit 1
falling 1
from 1
gaming 1
grantham 2
her 2
here 1
his 1
house 1
idea 1
in 2
inappropriate 1
incensed 1
innocent 1
is 1
leads 1
london 1
love 1
marriage 1
max 1
meets 1
on 1
over 1
pair 1
poor 1
presides 1
prevent 1
ravenscar 2
regency 1
revenge 1
she 2
take 1
that 1
the 3
to 4
ward 1
which 1
who 1
would 1
young 1
