2390729
/m/078nnq
/m/078nnq
Boris Strugatsky
1973
{"/m/06n90": "Science Fiction"}
a 11
about 1
accidentally 1
actions 1
adjust 1
after 2
agent 1
alai 4
ammunition 1
an 5
and 9
android 2
army 3
arrival 1
as 6
assault 1
at 1
back 3
battle 1
becomes 1
been 1
believe 1
but 2
by 5
can 1
cats 1
chapter 2
city 1
commando 1
confused 1
conquer 1
construct 1
cooperate 1
cure 1
deal 1
decides 1
demands 1
different 1
disarm 1
discovers 1
do 1
doctors 2
does 2
duchy 2
earth 8
earthlings 1
easily 1
elite 1
empire 2
escape 1
even 2
everything 1
fighting 1
finds 1
first 2
force 1
from 1
future 1
gack 15
giganda 5
gigandians 1
given 1
go 2
have 2
he 10
help 2
helps 1
him 9
his 3
home 1
however 1
idea 1
if 1
immediately 1
in 4
indeed 1
integrated 1
into 1
is 11
it 1
kornei 1
last 1
learns 1
let 1
life 1
lifestyle 1
local 1
man 1
manages 1
military 1
mission 1
month 1
more 4
mortally 1
nearby 1
news 1
next 1
no 1
not 3
novel 2
of 7
officer 1
on 6
or 2
other 2
part 1
persuaded 1
plague 1
planet 1
practically 1
progressor 1
progressors 1
propaganda 1
proves 1
psychological 1
ravaging 1
real 1
refuses 1
resurrect 1
rifle 1
secret 1
send 1
sent 1
servant 2
shocked 1
shoot 1
since 1
so 1
society 1
still 1
stopped 1
story 1
subject 1
taken 1
takes 1
technology 1
tell 1
tells 2
test 1
that 9
the 17
they 1
thinks 2
threatens 1
to 18
training 1
tries 2
unit 1
unknown 1
use 1
want 2
wants 2
war 1
was 2
well 2
when 1
where 1
with 4
wounded 1
yashmaa 8
