22133333
/m/05p8b5d
/m/05p8b5d
Susan Hill
1991-03-25
15year 1
a 5
after 2
and 6
appears 1
arrives 1
as 2
at 2
attentions 1
aviary 1
batchelor 1
become 1
becomes 1
becoming 1
birds 1
birdwatching 1
book 2
bored 1
bridge 1
by 1
cambridge 3
cavendish 2
celibate 1
child 1
college 1
comprises 1
concerns 1
confirmed 1
contacts 1
cousin 1
destined 1
determined 1
disastrous 1
don 1
edwardian 1
either 1
england 1
enthusiasm 1
eventually 1
excolonial 1
fens 1
first 1
florence 3
friend 1
from 1
growing 1
half 2
he 3
her 4
him 1
his 8
house 1
in 7
india 2
indoor 1
irreproachable 1
is 4
kitty 2
left 1
leisure 1
life 1
lives 1
long 1
longs 1
master 1
midfities 1
narratives 1
nearby 1
obsession 1
of 4
old 1
on 2
or 1
over 1
parents 1
poverty 1
relenting 1
repelled 1
results 1
return 1
revd 1
river 1
same 1
sea 1
second 1
sees 2
separate 1
set 1
she 4
sister 2
spending 1
spurning 1
stands 1
the 12
thomas 2
through 1
time 2
to 4
tutor 1
two 1
university 1
voyage 1
wed 1
who 1
window 1
with 5
young 1
