1491166
/m/055j24
/m/055j24
Frederik Pohl
1990
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 15
able 1
accelerate 1
accelerating 1
acceleration 1
activities 1
after 3
again 2
ahead 1
all 1
amount 1
an 3
and 20
any 1
appears 1
are 8
argosy 1
ark 1
around 3
arriving 2
as 1
at 1
attempting 2
badly 1
battlefield 1
be 4
become 2
been 2
begins 1
being 1
believing 1
between 1
binary 1
bizarre 1
black 1
board 1
born 1
both 1
bright 1
brings 1
by 1
can 1
cause 1
chess 1
child 1
children 1
civilization 1
closely 1
colonists 3
colony 10
comfort 1
company 1
considerably 1
copies 1
created 1
creating 1
creatures 3
creatureswith 1
damaged 1
dead 1
deadly 1
decay 1
decide 1
dedicated 1
descendants 1
desperate 2
desperately 1
destroyed 1
dimmed 1
dimming 1
disastrous 1
discouraged 1
discover 1
disease 1
distant 1
dot 1
due 2
during 1
dwarf 1
each 1
earth 2
earthborn 1
effectively 1
effects 1
efforts 1
emissions 1
end 1
enemy 2
energy 2
engaged 1
entire 2
establish 1
even 1
eventually 4
exotic 1
expedition 1
factionalized 1
failures 1
far 1
fast 1
fellowcolonists 1
few 1
find 3
finds 1
flare 1
follows 1
for 4
forced 1
forges 1
former 1
four 3
freezer 1
from 2
frozen 3
galaxy 1
game 1
group 1
habitats 1
has 5
have 2
he 2
head 1
heavily 1
hightechnology 1
himself 2
his 3
holes 1
home 3
human 1
humans 1
hundred 1
immensely 1
immortal 1
in 5
inhabiting 1
insignificant 1
interest 1
into 4
investigate 2
investigation 1
irrelevant 1
irritation 1
is 6
it 3
itself 1
kill 1
knowledge 1
last 1
later 2
living 1
local 1
long 1
longforgotten 1
longlived 1
makes 2
matter 2
may 2
mayflower 1
middle 1
modified 1
more 1
most 1
move 1
new 2
no 1
now 1
of 17
off 1
old 1
oldest 1
on 3
onboard 1
once 1
one 1
only 2
or 2
orbit 1
orbiting 1
orbits 1
outbreak 1
particles 1
passed 1
plasma 2
pleasure 1
powerful 1
preparations 1
proton 1
provided 1
publicity 1
radiation 1
rebuild 1
rebuilding 1
rebuilt 1
receives 1
red 1
relativistic 1
religious 1
remaining 1
remains 1
rescued 1
scientific 1
secondary 1
ship 1
ships 1
should 1
shrunk 1
siphoned 1
situation 1
sleep 1
slowed 1
small 3
so 1
society 1
solar 1
someone 1
sorricaine 1
star 6
stars 6
status 1
story 1
strange 1
surviving 1
system 5
systems 2
tachyon 1
targeted 1
terraforming 1
that 6
the 38
their 7
them 3
themselves 1
these 1
they 4
this 1
thousand 2
three 1
time 2
to 23
transmission 1
travelling 1
trip 1
undergoing 1
unfortunately 1
unfrozen 2
unique 1
universe 2
unknown 1
unwittingly 1
upon 2
using 1
variety 1
vast 1
viktor 4
wakes 1
wanto 5
war 1
was 1
way 1
weapons 1
which 1
who 1
why 1
with 2
within 2
world 3
years 3
young 2
