7422517
/m/02613xs
/m/02613xs
Anthony Powell
1975
{"/m/06nbt": "Satire", "/m/05hgj": "Novel"}
170 1
171 2
30 1
a 15
academy 1
account 2
act 1
ada 1
allowing 1
almost 1
also 1
amanda 1
an 3
and 14
annual 1
another 1
appears 2
appointed 1
are 2
arrives 2
art 1
as 2
asks 1
at 7
attack 1
attended 1
autumn 1
award 1
band 1
been 1
before 1
belinda 1
biography 1
bithel 1
bob 1
bomb 1
bonfire 1
bosworth 1
boyhood 1
bride 1
brings 1
by 4
camp 1
canon 2
caravan 1
chancellor 1
chapter 1
committee 1
conservationists 1
converted 1
counterculture 1
cult 4
current 1
cutts 3
dancers 1
daubed 1
daughter 1
daughters 1
deacon 3
deadly 1
death 1
decade 1
describes 1
devil 3
dinner 2
disrupt 1
donners 2
dr 1
duport 1
during 1
e 1
embarrassing 1
established 1
evening 1
extracts 1
family 1
fenneau 1
final 1
fingers 3
fiona 2
flores 1
followers 2
for 2
forces 1
formerly 1
friends 1
from 4
gallery 1
gets 2
grandfather 1
grip 1
gwinnett 3
has 2
he 3
henderson 1
him 1
hints 1
hippies 1
his 2
host 1
impromptu 1
in 6
inside 1
interested 1
invalid 1
is 9
isobel 1
jean 1
jenkins 1
jenkinses 1
jg 1
joining 1
keenly 1
land 1
later 1
leading 1
led 1
leintwardine 1
life 1
lighting 1
makes 1
married 1
matilda 1
member 1
members 1
memorial 1
met 1
midsummer 1
misdemeanour 1
mr 1
murtlock 11
muster 1
naked 2
nearby 1
new 1
newly 1
news 1
nick 4
niece 1
night 1
now 2
of 18
on 5
one 2
or 1
pagan 1
paint 1
paintings 1
part 1
pays 1
penance 1
photographs 1
picturesedgar 1
polly 1
presentation 1
previous 1
prize 2
proceedings 2
promptly 1
public 1
put 1
quiggin 3
recent 1
recently 1
reception 2
rediscovered 1
reflecting 1
released 1
reports 1
revival 1
ritual 1
roddy 1
royal 1
run 2
russell 1
ruthlessly 1
school 1
scorpio 1
sees 2
selling 1
seven 1
sex 1
shown 1
signora 1
sins 1
so 1
speech 1
spring 3
standing 1
stink 1
stones 1
stourwater 1
tableaux 1
that 1
the 25
their 1
them 1
there 4
thereby 1
thus 1
to 9
touch 1
trapnel 1
trelawney 1
twins 3
university 1
visits 1
wedding 1
where 2
which 1
while 1
who 1
widmerpool 9
with 5
x 1
year 1
years 1
