1819834
/m/05zgs5
/m/05zgs5
Terry Pratchett
2005
a 24
abruptly 1
accidentally 1
acquired 1
addicted 1
ae 1
after 2
against 1
allow 1
along 2
also 1
ambush 1
ambushed 1
an 4
ancient 2
and 26
anger 1
angua 5
animosity 1
ankhmorpork 4
anniversary 1
another 1
apparently 1
applicant 1
art 1
artist 1
as 9
astute 1
at 3
attached 1
attempt 2
auditor 1
back 2
bashfulsson 1
battle 3
be 2
becomes 1
been 2
before 1
begin 1
beginning 1
behind 1
being 1
believe 1
believes 1
below 1
between 3
blood 1
bodies 1
body 1
book 2
bottom 1
brand 1
brick 1
bright 1
broker 1
buildup 1
but 3
butler 1
by 4
captain 2
carried 1
carrot 3
carrying 1
caught 1
caused 1
cave 1
cavern 1
caverns 1
centuries 1
city 3
claimed 1
clause 1
clearly 1
clues 2
coffee 1
colon 1
come 1
commander 2
communities 1
confiscated 1
confusing 1
conspired 1
consternation 1
continue 1
convinces 2
corporal 1
cube 1
cursed 1
cut 1
cuts 1
dancer 1
dark 2
dead 1
death 2
deep 1
deepdowners 3
demagogue 1
desk 1
destroy 1
detritus 1
did 2
died 1
discover 1
discovers 2
domain 1
done 1
door 4
double 1
down 1
dragons 1
draws 1
drugs 1
dwarf 6
dwarfs 1
dwarven 1
dwarves 11
each 1
eminent 1
end 1
ends 1
enough 1
entity 1
equipment 1
erupts 1
etc 1
ethnic 1
evidence 1
evil 1
exotic 1
eye 1
family 3
fear 1
fiftyfoot 1
fighting 1
find 1
finds 1
first 1
fit 1
flash 1
flee 1
flood 1
fog 1
foolish 1
for 3
form 1
found 1
four 1
friends 1
from 1
future 1
gallery 1
game 1
garter 1
girlfriend 1
grag 2
guards 1
gutter 1
had 5
hamcrusher 2
has 2
haste 1
have 1
he 7
helmclever 1
her 2
hidden 1
himself 3
his 5
holds 1
hope 1
house 1
however 1
humpeding 2
in 15
insane 1
intend 1
intended 1
internal 1
interspecies 1
interview 1
into 4
invade 1
investigation 2
involve 1
iou 1
is 8
it 1
justice 1
killing 1
king 3
know 1
koom 7
lady 1
lanceconstable 2
later 1
learn 1
left 1
locked 1
looks 1
lord 3
lowest 1
mansion 1
meanwhile 1
members 1
methodia 2
mine 5
minethe 1
more 1
most 1
mount 1
mountains 1
mr 1
much 1
murder 4
murdered 2
mutilated 1
mysterious 2
named 3
nervous 1
new 3
nobbs 2
nobby 1
not 1
of 30
off 1
omnidirectional 1
on 5
one 1
opened 1
opens 1
originally 1
other 5
out 2
own 2
painting 3
particular 1
parting 1
patch 1
peace 2
pessimal 1
played 1
populace 1
presence 1
preserved 1
pressured 1
project 1
protege 1
proves 1
provoke 1
public 1
pursuing 1
quasidemonic 1
quickly 1
races 1
ramkin 1
rascal 2
real 1
really 1
recruit 2
rune 1
s 1
salacia 1
sally 2
sam 1
same 1
scrape 1
scrawl 1
secret 1
seeing 1
seemingly 1
send 1
sergeant 5
several 1
shine 1
shot 1
shown 1
side 1
sight 1
sign 1
slab 1
slice 1
slide 1
slipping 1
smelter 1
solve 1
soon 2
sort 1
sought 1
spilled 1
squad 1
stalagmite 1
stronger 1
subplots 1
such 1
summoning 2
supposes 1
surrounding 1
survive 1
surviving 1
sybil 2
taking 1
talents 1
talking 1
tawneee 1
tension 1
tensions 1
than 1
thanks 1
that 8
the 71
theft 1
their 3
them 3
these 1
they 2
thick 1
this 2
thud 1
time 1
to 24
tomb 1
touched 1
travels 1
treasure 1
tries 1
troll 10
trolls 4
truth 2
turns 1
two 2
under 1
undercity 1
undertaking 1
unharmed 1
used 1
useful 1
valley 7
vampire 1
vampires 1
veers 1
vengeance 1
vetinari 4
vimes 10
vimesramkin 1
visit 1
von 2
war 3
was 2
washed 1
watch 3
watchman 1
weather 1
well 2
werewolves 1
when 3
where 4
while 1
who 5
will 1
willikins 1
with 3
wreaks 1
yet 1
young 2
