4117946
/m/0bk1yq
/m/0bk1yq
Todd McCaffrey
2003-11
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
3rd 1
a 12
abilities 2
about 1
accidents 1
adopted 1
aided 1
also 1
an 3
and 8
animal 1
are 1
as 4
ask 1
be 3
beasts 1
before 1
begins 3
both 1
boy 1
but 1
by 2
called 1
camp 5
cavein 2
chance 1
clue 1
coal 1
dask 2
deal 1
decides 1
delaying 1
despite 1
difficult 1
discover 1
distant 1
divided 1
do 1
dragons 1
during 1
egg 1
end 1
entertainer 1
entire 2
exist 1
family 1
father 1
fictional 1
for 3
from 1
gas 1
great 1
group 1
harper 1
harpers 1
has 1
he 1
him 1
his 3
how 3
in 3
including 1
into 1
introduced 1
is 6
keep 1
kindan 5
kisk 2
leader 1
learn 1
learns 1
lives 1
locate 1
loses 1
luckily 1
many 1
master 1
meanwhile 1
miners 2
mines 1
mining 2
minor 1
mysterious 1
natalon 4
no 2
nocturnal 1
novel 1
nuella 1
of 8
on 1
or 2
owns 1
parties 1
pass 1
people 1
pern 1
planet 1
pockets 1
process 1
protests 1
proves 1
queen 1
raise 1
raising 1
reader 1
records 1
relative 1
save 1
should 1
some 1
something 1
special 1
species 1
spy 1
story 2
stranded 1
subsequently 1
succeeds 1
tarik 2
task 1
tells 1
that 3
the 21
there 2
these 1
they 1
this 3
to 9
together 1
towards 1
trade 1
train 3
two 1
uncle 1
used 1
vital 1
warn 1
watchwher 4
watchwhers 1
well 1
whers 1
who 1
whose 1
will 1
winter 1
without 1
work 1
worth 1
years 1
young 1
zist 1
