19858565
/m/04q97j5
/m/04q97j5
Ralph Fletcher
2007-08-07
{"/m/03mfnf": "Young adult literature"}
173 1
a 5
across 1
again 1
and 3
another 1
arrives 1
bay 1
become 2
becomes 1
boston 1
boy 2
breeze 1
buy 1
by 1
can 2
chop 1
clam 1
cousin 1
cousins 1
daily 1
dan 2
digger 1
earn 1
enough 1
eventually 1
for 1
fourteen 1
friends 1
from 1
hawaii 1
he 1
himself 1
his 1
in 2
interested 1
is 1
island 1
it 1
jazzy 3
job 1
kissing 1
learns 1
lives 1
living 1
long 1
matt 6
money 1
mother 1
moves 1
oclock 1
old 2
on 1
one 1
roughening 1
salts 1
say 1
says 1
set 1
smooth 1
so 1
spend 1
stand 1
suddenly 1
summer 1
surface 1
takes 1
that 2
the 5
they 1
to 3
until 1
up 2
used 1
watch 1
whaler 1
where 1
with 2
you 1
your 2
