4573248
/m/0c9jwq
/m/0c9jwq
Amitav Ghosh
1988
16364 1
a 3
adores 1
afraid 1
always 1
and 10
are 2
attracted 1
back 1
because 1
being 1
between 2
boy 1
bring 1
but 1
by 1
calcutta 1
career 1
changing 1
chaudharis 1
clothes 1
collection 1
communal 1
connections 1
datta 1
dattachaudhari 1
day 1
delhi 1
determined 1
dhaka 2
different 1
do 1
does 1
doesnt 1
dreadful 1
establish 1
exists 1
expresses 1
facts 1
family 3
feelings 4
feels 1
figures 1
follows 1
for 3
friendship 1
from 2
front 1
goes 1
grandmother 1
grandson 1
growing 1
has 1
he 2
her 6
him 2
his 11
however 1
idle 1
ila 2
in 8
incidents 1
involuntarily 1
is 4
justice 1
knowledge 1
later 1
life 3
like 2
linked 1
lionel 1
listening 1
london 2
lore 1
lose 1
love 1
loves 1
may 1
mobs 1
narrator 4
never 1
not 1
novel 1
of 8
on 1
one 2
passive 1
past 1
patriarchs 1
person 1
perspective 1
places 1
prices 1
refuses 1
relationship 1
rescue 1
respective 1
reunite 1
riots 1
sacrificed 1
seems 1
selfindulgence 1
sexually 1
she 3
shows 1
sorry 1
speak 1
support 1
thamma 3
that 3
the 13
their 1
them 1
thinks 1
to 12
tremendous 1
tresawsen 1
tridib 5
type 1
unaware 1
uncle 1
unlike 1
up 1
use 1
very 1
wants 1
was 1
waste 1
when 1
who 2
whore 1
why 1
with 1
you 1
young 1
