26245866
/m/0b74vsq
/m/0b74vsq
Michael Dertouzos
2001
a 8
able 1
about 1
accelerate 1
acceleration 1
access 1
accurate 1
accurately 1
actual 1
addictive 1
after 1
against 1
allow 1
also 1
an 2
and 10
apple 1
are 3
area 2
areas 1
argues 1
artists 1
as 3
ask 1
attention 1
automated 1
automation 1
be 1
before 1
being 2
believes 1
bernerslee 1
better 1
book 2
born 1
breaks 1
buckets 2
but 1
button 1
by 4
caller 1
capacitive 1
car 1
centric 1
challenges 1
collaboration 1
commonly 1
communicate 1
computer 1
computers 3
customization 1
data 1
death 1
dertouzos 2
described 1
digital 1
discussion 1
does 1
down 4
each 1
edition 1
emphasizes 1
engage 1
errors 1
even 1
example 2
examples 1
existing 1
expected 1
fashion 1
first 1
five 2
focus 2
for 6
foreword 1
generally 1
giving 1
go 1
goes 1
guided 1
he 5
hearing 1
helping 2
his 1
hold 1
human 1
humans 1
hundreds 1
implementation 1
implementations 1
improvement 2
in 7
individualized 1
information 1
input 2
inputs 1
inquiring 1
inquiry 1
instead 1
interact 2
interaction 3
interface 2
interpretation 1
into 2
ipod 2
is 2
it 1
keyboard 1
less 1
lies 1
limited 1
michael 1
model 1
more 3
mostly 1
motion 1
mouse 1
music 1
name 1
narrow 1
natural 2
need 3
not 2
now 1
number 1
objectives 1
of 10
on 2
only 1
option 1
options 1
or 5
other 1
our 1
pain 1
paperback 1
perhaps 1
players 1
pleasing 1
possible 1
predict 1
presented 1
previously 1
primary 1
prime 1
prior 1
process 1
processing 1
product 1
proposals 1
providing 1
public 1
recognition 2
reduce 1
reducing 1
required 1
responses 1
right 1
road 1
roadway 1
screen 1
scroll 1
scrolled 1
seems 1
senses 1
serious 1
shortly 1
should 2
significantly 1
simplify 1
since 1
small 1
so 1
software 1
some 1
somewhat 1
songs 1
special 1
specifically 2
speech 2
states 1
stating 1
still 1
subsets 1
successful 1
succinctly 1
such 2
summarizes 1
system 4
systems 5
that 6
the 25
them 1
then 1
they 1
this 1
thousands 1
three 1
through 2
thumb 1
tim 1
to 13
touch 2
traffic 1
transportation 1
travel 1
turn 1
type 1
unreasonably 1
up 1
us 2
used 2
user 2
vision 1
wait 1
warning 1
was 1
we 1
what 1
wheel 2
where 1
while 2
why 1
with 5
within 1
world 1
written 1
