4931538
/m/0cvs00
/m/0cvs00
Gary Paulsen
1996-01
{"/m/03mfnf": "Young adult literature"}
a 4
also 1
always 1
and 2
around 1
at 1
attacked 1
attention 1
bear 1
being 1
bow 1
brian 3
building 1
by 1
constructing 1
cree 1
deals 1
during 1
eventually 1
fall 1
family 1
happening 1
he 1
help 1
him 2
home 1
how 1
lake 1
learned 1
learning 1
lshaped 1
make 1
meets 1
more 1
of 1
pay 1
powerful 1
return 1
shelter 1
shoes 1
should 1
smallhorns 1
snow 1
still 1
story 1
stranded 1
that 1
the 4
to 2
trappers 1
what 1
who 1
winter 2
with 1
