10858133
/m/02qs6p7
/m/02qs6p7
Victoria Holmes
2004-10-01
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
a 2
accompanied 1
accuses 1
after 1
agrees 1
all 4
alliance 3
an 3
and 17
are 1
as 1
attacks 1
attempt 1
attempts 1
battle 3
be 3
become 2
being 2
blood 1
bloodclan 5
bloodthirsty 1
blow 1
bluestar 2
both 2
but 2
by 2
called 1
cannot 1
cat 1
cats 1
charge 1
chooses 1
claiming 1
clans 5
convince 1
cutting 1
danger 1
days 1
decided 1
deputy 1
divide 1
do 2
easily 1
ending 1
everyone 1
experienced 1
face 1
featherpaw 3
fight 2
find 1
firestar 7
for 2
forest 4
forming 1
four 4
from 1
gives 1
go 1
graystripe 3
group 1
halfclan 1
halfriverclan 1
halfthunderclan 1
has 2
have 1
he 5
held 1
help 1
him 3
his 5
history 1
in 6
independent 1
is 7
it 1
its 1
join 2
killed 1
kills 2
kits 2
known 1
leader 2
leaders 1
leave 1
leopardstar 1
lion 1
lionclan 1
lives 3
loses 1
manage 1
meet 1
mistyfoot 2
more 1
nearby 1
nine 3
no 1
normal 1
not 1
now 1
of 7
old 1
on 1
once 1
one 2
only 1
open 1
opinion 1
orders 1
otherwise 1
own 1
power 1
prisoner 1
process 1
prophecy 1
protecting 1
quite 1
ravenpaw 2
receives 1
refuse 2
rescue 1
returned 1
reveals 1
riverclan 1
rogues 1
rule 1
scatters 1
scourge 4
since 1
so 1
still 1
stonefur 2
stormpaw 3
survive 1
tail 1
tallstar 2
tells 3
that 6
the 13
them 2
then 3
there 1
therefore 1
they 3
this 2
though 1
three 1
throat 1
thunderclan 2
tiger 1
tigerclan 1
tigerstar 10
to 16
town 1
traitors 1
trusted 1
two 1
unify 1
unite 1
vicious 1
visit 1
warrior 1
when 2
where 1
which 2
while 1
whitestorm 1
who 3
will 5
with 2
without 1
won 1
would 1
