976322
/m/03vzp2
/m/03vzp2
Robert Cormier
1974
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 14
ability 1
accomplish 1
acknowledged 1
acting 1
action 1
actions 1
actively 1
after 2
aftermath 1
agrees 1
alfred 1
alienated 1
align 1
alike 1
all 2
allboys 1
along 1
also 1
although 1
ambition 1
ambush 1
among 1
amoral 1
an 4
and 27
angered 1
annual 1
any 1
apparently 1
archie 13
are 2
as 8
assessment 1
assigner 1
assignments 1
assigns 1
assumes 1
at 10
back 1
based 1
basic 1
be 3
beating 1
because 1
becomes 2
before 1
begin 2
behalf 1
behind 1
best 1
between 1
blows 1
body 3
both 1
boxer 1
boxing 1
brother 5
brutally 1
bullied 1
bully 1
but 2
by 11
call 1
called 1
calls 1
cannot 1
carries 1
carry 2
carter 1
catholic 1
caught 1
celebrate 1
chocolate 8
chocolates 2
classmates 1
combatants 1
committing 1
companion 1
concedes 1
concocts 1
condone 1
confronted 1
consciousness 1
consequential 1
continue 1
controlling 1
cooperate 1
copes 1
corrupt 1
costello 1
crafts 1
cruel 1
culture 1
daily 1
dare 1
darkness 1
day 1
days 2
de 1
death 1
defiance 1
demands 1
depressive 1
desire 1
dignity 1
direct 1
disarray 1
display 1
disturb 2
do 2
does 1
doing 1
during 1
each 3
effort 1
efforts 1
elaborate 1
electrical 1
eliot 1
emile 3
emptiness 1
encouraging 1
end 1
enemy 1
enlists 1
estranging 1
even 3
event 2
everyone 2
existence 1
existential 1
expecting 1
facing 1
facto 1
faculty 1
father 1
favor 1
feelings 1
fellow 3
field 2
fight 1
final 1
first 2
firstyear 1
floating 1
following 1
football 2
for 5
force 1
freshman 1
friend 2
from 4
frustration 1
full 1
fundraising 3
goal 1
goals 1
gone 1
goober 3
group 1
hallways 1
halted 1
harassment 1
have 3
having 1
he 8
headmaster 3
heroic 1
high 1
him 2
himself 2
hinting 1
his 18
home 1
however 2
humiliating 1
i 1
if 2
ill 1
implicit 1
implies 1
in 13
includes 1
increase 1
indeed 1
individuals 1
influence 1
influential 1
initially 1
injured 1
inside 1
intelligent 1
intervenes 1
into 1
is 15
isolation 1
it 2
j 1
janza 1
jerry 22
john 1
just 2
justify 1
kills 1
known 1
laid 1
last 1
laugh 1
led 1
leon 12
life 1
like 1
little 1
locker 2
lottery 1
love 1
made 1
maintains 1
manipulative 1
many 2
mastermind 1
match 4
meaning 1
meanwhile 1
meets 1
member 1
members 1
mother 1
neither 1
new 3
newfound 1
next 1
night 1
no 1
nominally 1
noncompliance 1
nonconformity 1
nonviolent 1
nor 1
not 2
novel 1
now 3
observes 1
occasionally 1
of 25
officially 2
often 1
older 1
on 5
only 3
onto 1
openly 1
other 1
out 5
outcast 1
outright 1
outside 1
over 1
overextends 1
own 1
passed 1
peers 1
people 1
persists 2
personal 1
personally 1
play 1
player 1
plummet 1
ponders 1
position 1
possessions 1
poster 1
power 4
praises 1
prank 2
pranks 1
pranksters 1
preparatory 1
preserve 1
president 1
presses 1
price 1
private 1
progress 1
promising 1
protect 1
provide 1
prufrock 1
put 1
questions 1
quickly 2
quietly 1
quotation 1
randomized 1
range 1
reaches 1
receives 1
recent 1
recognized 1
recognizing 1
recruited 1
refusal 3
refuse 1
rejection 1
remaining 1
remains 1
renault 1
resistance 2
rest 2
result 1
results 1
reveling 1
ridiculous 1
rising 1
roll 1
run 1
s 1
sale 3
sales 3
says 1
scene 2
school 11
schoolwide 1
secret 1
secretly 1
seduced 1
seen 1
selects 2
selfdetermined 1
selfserving 1
sell 2
selling 1
set 1
sexual 1
shocks 1
should 1
skyrocket 1
so 1
society 1
solitary 1
some 2
song 1
soon 2
star 1
stem 1
student 6
students 5
support 1
supportive 1
surprising 1
system 1
t 1
teacher 1
teachers 1
team 1
ten 2
than 1
that 8
the 76
their 5
there 1
these 1
thin 1
this 3
though 5
thought 1
threatens 1
through 1
throughout 1
throwing 1
thus 1
thwart 1
tide 1
title 1
to 29
toward 1
trinity 2
turned 1
twice 2
two 1
ultimately 2
universe 2
unprecedented 1
unquestioningly 1
up 1
urges 1
use 1
vandalism 1
viceprincipal 1
vigils 12
violent 1
wanted 1
was 1
watched 1
way 1
what 1
when 2
where 1
which 6
who 2
whoever 1
whom 1
whose 1
widower 1
wields 1
will 4
win 2
winner 1
with 3
work 1
year 3
