3416567
/m/09bbqh
/m/09bbqh
Sukumar Ray
1921
{"/m/0l67h": "Novella"}
a 8
about 2
after 2
all 1
and 9
animals 1
appear 1
appears 3
arguing 1
artificial 1
at 1
before 2
beside 1
boy 4
calculations 2
cat 3
confusion 1
denouncing 1
disappearing 1
division 1
does 1
doing 2
dream 1
eating 1
eventually 1
fallacious 1
family 1
find 1
finding 1
finds 2
for 1
from 2
go 1
goat 1
handkerchief 2
has 1
he 4
hedge 1
hijibijbij 1
him 3
his 3
illogical 1
in 3
includes 1
inquiries 1
into 1
is 2
just 1
kakeshwar 2
laughs 1
life 1
many 1
math 1
mathematics 1
names 1
narrates 1
nonsensically 1
not 1
odd 1
of 1
other 1
over 2
paper 1
placed 1
purely 1
results 1
semicolon 1
series 1
slate 1
sleep 1
sleeping 1
some 1
speaks 1
starts 2
story 1
suddenly 1
talk 1
talking 1
tell 1
tells 1
that 5
the 8
then 1
things 1
this 1
three 2
to 3
tree 1
turned 1
unusual 1
up 2
very 1
wakes 1
waking 1
which 1
who 1
with 1
