1880591
/m/06393v
/m/06393v
Alan Paton
1948-12
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 13
absalom 6
activist 1
africa 2
agrees 1
agricultural 1
an 1
and 14
are 2
arranges 1
arrested 1
arrives 1
arthur 3
assured 1
at 1
away 1
back 1
barren 1
be 2
because 1
become 1
becomes 1
been 3
beer 1
before 2
begins 1
behalf 1
black 2
both 1
brewing 1
brother 1
built 1
burglary 1
but 1
by 1
came 1
carpenter 1
carrying 1
changes 1
chief 1
child 2
children 1
city 3
come 1
comes 1
dam 1
daughterinlaw 1
dawn 1
dead 1
death 2
decides 1
demonstrator 1
departure 1
devastated 1
developments 1
discuss 1
distant 1
drinking 1
during 1
embarks 1
ends 1
engineer 1
essays 1
execution 1
family 2
farming 1
father 2
fathers 1
find 1
first 2
follow 1
for 6
found 1
from 1
futile 1
gertrude 5
gets 1
girl 1
goes 1
gone 1
had 2
happens 1
has 4
have 2
having 1
he 3
heavily 1
help 4
her 1
hires 1
his 16
home 1
however 1
ill 1
implement 1
in 8
involved 2
is 6
it 1
ixopo 2
james 2
jarvis 7
johannesburg 4
john 1
joins 1
journey 1
justice 1
killed 1
know 1
kumalo 12
learn 1
learns 3
letter 1
life 1
long 1
look 1
made 1
makes 1
marries 1
methods 1
modern 1
morning 1
msimangu 3
murder 2
must 1
native 1
ndotsheni 2
neighbour 1
nephew 1
never 1
new 1
night 1
novel 2
now 4
of 10
on 4
only 1
opens 1
order 1
pastor 1
politics 1
population 1
priest 1
prostitution 1
racial 1
ran 1
reading 1
receives 1
reformatory 1
return 1
returns 2
search 1
seeing 1
sees 1
sentenced 1
she 3
shortly 1
sister 1
small 1
son 11
south 2
stephen 1
take 1
taken 1
that 6
the 25
their 2
theophilus 1
thereafter 1
these 1
through 2
time 1
to 25
trail 1
tribe 1
two 1
up 2
urges 1
victim 1
village 4
visit 1
was 2
when 2
where 1
white 1
who 4
will 1
with 4
woman 1
wonders 1
work 2
world 1
writings 1
young 2
