957529
/m/03t9p4
/m/03t9p4
Richard Dawkins
2004

3 1
40 1
a 13
about 4
abridged 1
all 5
along 1
also 3
american 1
an 3
analyzed 1
anatomy 1
ancestor 3
ancestors 1
and 9
animals 4
are 4
as 4
aspect 1
assembled 1
at 6
attempts 1
audio 1
axolotl 1
band 1
be 1
been 2
before 1
best 1
biology 2
blackandwhite 1
book 5
branch 1
british 1
bushbaby 1
by 4
can 1
canterbury 1
carefully 1
caveats 1
chapter 1
chaucer 1
child 1
childhood 1
classify 1
closest 1
colour 1
come 1
common 2
compelling 1
concerning 1
confident 1
cousin 1
cousins 1
darwinian 1
dawkins 7
dedicated 1
described 1
describes 1
died 1
discusses 1
diverged 1
diversity 1
each 2
elaborates 1
emphasis 1
enters 1
essential 1
eubacteria 1
even 1
every 2
evidence 2
evolution 2
evolutionary 2
explains 1
extensive 1
family 1
features 2
fishlike 1
following 1
fondness 1
for 2
form 1
fossil 1
friend 1
from 3
geneticist 1
genus 1
geoffrey 1
grow 1
growing 1
had 1
hard 1
hardback 1
has 1
have 1
he 5
hippos 1
his 3
history 1
houghton 1
how 3
human 1
humanity 2
humans 2
illustrate 1
illustrations 2
in 4
independently 1
infer 1
inspired 1
instance 1
interesting 2
into 1
introduced 1
is 6
it 1
its 1
john 1
join 2
kept 1
lalla 1
land 1
learned 1
life 1
lineage 1
living 1
major 1
malawi 1
maynard 1
meet 1
mentor 1
method 1
mifflin 1
modern 3
molecular 1
most 2
moved 1
narrated 1
narrative 1
nature 1
needs 1
never 1
new 1
newly 2
nicolson 1
not 1
number 2
nyasaland 1
of 15
often 1
on 3
one 2
ones 1
or 3
organisms 1
origin 1
otherwise 1
our 1
own 2
paperback 1
particular 1
party 1
path 1
peculiar 2
personal 1
phylogenetic 1
pilgrimage 2
pilgrims 1
point 2
points 4
population 1
press 1
probable 1
produced 1
published 1
read 2
recent 2
recounts 1
recruited 1
reduced 1
relatives 1
relevant 1
rendezvous 5
selfcontained 1
sequentially 1
shape 1
shortly 1
small 1
smith 1
species 2
stories 1
structure 1
structured 1
studied 1
surprise 1
surviving 1
tale 2
tales 2
talks 1
taxonomy 1
tells 1
that 3
the 27
their 2
theory 1
these 1
this 2
though 2
through 1
time 2
tiny 1
to 12
tool 1
topics 1
total 1
travelling 1
two 1
university 1
up 1
using 1
version 1
versions 2
visits 1
ward 1
was 1
way 1
weidenfeld 1
weight 1
went 1
whales 1
when 1
where 1
which 2
who 1
whole 1
why 2
wife 1
with 5
woven 1
writing 1
zero 1
