2682376
/m/07xnqy
/m/07xnqy
Sidney Sheldon
1985
15 1
a 32
about 2
accidentally 1
accuses 1
actress 1
advice 1
after 4
against 1
aid 1
airport 1
alerts 1
alive 1
all 4
almost 1
also 1
although 1
among 1
an 4
and 29
anthony 2
arrested 1
arriving 1
as 10
asks 1
assigned 1
assistant 1
at 4
attempted 1
attorney 1
aware 1
back 1
bank 1
be 2
beautifuland 1
becomes 2
been 1
before 1
begins 2
between 1
bloodhound 1
book 1
brazil 1
brilliance 1
brilliant 1
bring 1
business 1
businessman 1
by 6
calls 1
capable 1
care 1
case 2
catch 1
chance 1
charges 1
charles 2
chasing 1
child 1
circumstances 1
citizens 1
city 1
classic 1
clear 1
cleverest 1
collected 1
comes 1
coming 1
commit 1
commits 1
computer 1
con 2
confess 1
confession 1
cons 1
conversation 2
convinces 1
conwomen 1
cooper 2
costly 1
could 1
court 2
criminals 1
cunningly 1
daniel 1
daughter 1
day 1
deceased 1
decided 1
decides 1
department 1
desperate 1
destroy 1
detective 2
didnt 1
distrust 1
doesnt 1
doris 2
drink 1
during 1
elusive 1
empire 1
encounter 1
end 1
enemy 1
england 1
enough 1
enters 1
escaping 1
etc 1
europe 2
eventually 1
exconvict 1
explain 1
express 1
fast 1
fate 1
fence 2
fight 1
filled 2
find 1
fires 1
flees 1
follows 1
for 8
framed 1
frames 1
frauddoris 1
from 6
gang 1
gem 1
give 1
given 1
goods 1
grabs 1
guilty 1
gun 3
gunther 1
had 2
harassment 1
hardship 1
harmed 1
hartog 1
has 1
hatred 1
have 1
having 1
he 1
heist 1
helps 1
her 28
higher 1
him 1
his 3
horrified 1
house 2
humor 1
husband 1
if 1
ignorance 1
iii 1
in 15
incarceration 1
incident 1
ingenuity 1
insurance 1
intelligent 1
intended 1
intends 1
interpol 1
into 1
introduced 1
investigator 1
is 10
issues 1
it 3
its 1
itself 1
jackal 1
jail 1
jeff 4
jewel 1
jeweler 1
jewelry 2
jewels 1
job 2
joe 1
judge 2
kill 1
kindhearted 1
lawabiding 1
lawrence 3
leader 1
leads 1
learns 2
leaves 1
led 1
legal 1
let 1
lets 1
letter 1
lieutenant 1
life 3
live 2
lives 1
long 1
louisiana 1
luxurious 1
mafia 3
main 1
make 1
making 1
man 2
manages 1
marriage 1
marry 1
master 1
matching 1
medical 1
melodramatic 1
misdeed 1
money 3
mother 6
much 1
murder 1
museum 1
naively 1
name 1
named 1
nanny 1
never 2
new 5
nominal 1
not 1
notified 1
novel 2
of 16
offers 1
on 1
one 1
only 4
operator 1
orient 1
orleans 4
orsatti 4
out 2
over 3
owner 1
painting 2
penitentiary 2
perceive 1
perry 2
philadelphia 1
phone 1
plainlooking 1
plaintiff 1
plan 1
planned 1
plead 1
police 1
policemen 1
pope 3
presented 1
presents 1
prison 2
prize 1
promises 1
property 1
protagonist 1
psychotic 1
purchases 1
pursues 1
pursuing 1
quote 1
rape 1
reaches 1
realizes 2
redhanded 1
refuses 1
relating 1
release 1
reselling 1
revenge 2
reversal 1
romano 13
ruining 1
russia 1
schemes 1
search 1
secretly 1
seems 1
sentence 1
sentences 1
set 1
sets 1
setup 1
sexual 1
she 16
shell 1
shot 2
smart 1
snatches 1
sociopath 1
some 2
southern 1
spying 1
stanhope 1
stealing 2
steals 1
stevens 2
stolen 1
store 1
story 2
struggle 1
such 1
suicide 3
sympathetic 1
take 1
takes 1
taking 1
tells 1
than 1
that 6
the 37
then 2
they 1
this 1
those 1
threaten 1
threemonth 1
thus 2
title 1
to 26
together 1
tomorrow 2
tracey 1
tracy 16
travels 1
tries 1
turns 1
two 1
unable 1
unborn 1
unusually 1
up 2
upon 1
use 1
valuable 2
version 1
villains 1
violence 1
vows 2
warden 1
was 2
wellknown 1
where 2
which 1
while 2
whitney 2
who 6
with 7
woman 1
womb 1
women 1
working 1
works 1
world 1
worldclass 1
worth 1
wounded 1
write 1
years 1
york 1
young 2
