3884270
/m/0b4_dk
/m/0b4_dk
Arthur Ransome
1933
{"/m/0dwly": "Children's literature", "/m/08sdrw": "Adventure novel"}
a 8
adventures 1
amazons 1
an 4
and 10
arctic 1
are 1
at 1
awry 1
barn 1
become 2
beside 1
blackett 1
blizzard 1
blows 1
boarding 1
brother 1
building 1
by 1
callum 1
cannot 1
catches 1
children 2
cszamrzl 1
dick 2
disused 1
dorothea 2
ds 2
due 1
during 1
earlier 1
embark 1
encounter 1
excellent 1
expected 1
expedition 1
expeditions 1
extended 1
fall 1
firm 1
flag 1
flinta 1
followed 1
for 2
freezes 1
freezing 1
friends 1
from 1
go 1
group 2
have 1
head 1
heavy 1
holiday 2
however 1
ice 1
igloo 1
in 2
initially 1
is 4
join 1
kapitna 1
lake 3
leader 1
lo 1
meet 1
missing 1
misunderstanding 1
mumps 1
named 1
nancy 1
north 1
observing 1
of 5
on 1
opportunity 1
organized 1
other 1
out 1
over 2
part 1
party 1
period 1
plans 1
play 1
point 1
pole 1
prolonged 1
providing 1
quarantined 1
ranging 1
rebuilding 1
rescue 1
return 1
schools 1
series 1
set 1
shortly 1
signal 1
sister 1
sled 1
snow 1
snowfall 1
stars 1
swallows 1
than 1
that 1
the 16
their 2
there 1
they 2
tlwinter 1
to 5
unusually 1
up 1
waiting 1
weather 1
when 3
while 1
whilst 1
winter 1
