1208874
/m/04hf55
/m/04hf55
Christopher Marlowe
1593

a 8
abbey 1
ability 1
about 1
abroad 1
access 1
accordingly 2
accusing 1
actaeon 1
after 2
again 1
agree 1
alienating 1
allies 1
although 2
an 4
and 30
anglicised 1
angry 1
antic 1
approaching 1
are 2
argue 1
arms 2
army 1
arrested 2
arrives 2
as 4
asks 1
at 3
attendants 1
away 1
banishes 1
bannockburn 1
bathe 1
be 3
becomes 1
before 2
beginning 1
begs 1
berkeley 1
best 1
betrayal 1
betrayed 1
better 1
birth 1
both 2
boy 1
brother 1
but 5
by 7
can 1
capture 1
carries 1
castle 1
cause 1
clad 1
claims 1
clamouring 1
comedies 1
comfort 1
common 1
conveniently 1
country 1
court 1
craves 1
crownets 1
cruel 1
dance 1
day 1
death 2
deception 1
decisively 1
defeated 1
delight 3
denies 1
despite 2
dian 1
die 1
disastrously 1
discovered 1
does 1
down 1
during 1
earl 1
edmund 2
edward 17
emblematically 1
ending 1
ends 1
england 1
english 1
entertainments 1
eventually 2
excuse 1
execute 1
executed 2
executes 1
executing 1
exile 2
exiled 1
fall 1
father 2
favour 2
favourite 3
fear 1
find 1
finds 1
first 1
flees 1
following 1
for 7
forced 1
france 3
from 3
gaveston 8
gavestons 1
get 1
gilds 1
give 1
gives 1
glides 1
goatfeet 1
goddess 1
grazing 1
grove 1
guards 1
gurney 3
hainault 1
hair 1
hands 1
hard 1
hart 1
has 2
have 1
having 2
hay 1
he 12
help 3
her 7
hide 1
him 11
himself 2
his 17
history 1
hopes 1
hounds 1
however 4
i 1
ii 2
ii5370 1
iii 5
ill 1
imprisoned 1
imprisonment 1
in 12
initially 1
into 2
ireland 1
is 15
isabella 5
it 2
italian 2
john 1
junior 1
keep 1
kenilworth 1
kent 1
kill 1
kills 2
king 7
knowing 1
lancaster 1
late 1
later 2
lawns 1
lightborn 4
like 4
likeness 1
lords 1
lovely 1
lover 2
lucifer 1
luxuriously 1
maintains 1
majesty 1
maltravers 2
marlowe 1
masques 2
may 1
meets 1
men 2
mercy 1
more 1
mortimer 12
most 1
mother 1
mower 1
much 1
murder 2
murdered 1
music 2
my 2
naked 1
name 1
narrative 1
neath 1
new 1
night 1
noble 1
nobles 3
not 4
nothing 1
now 3
nymphs 1
of 16
olive 1
on 2
one 1
only 1
opens 1
option 1
orders 1
other 1
outgeneralled 1
outset 1
own 1
pages 1
parts 1
passage 1
pearl 1
peeping 1
people 1
persecuted 1
persuades 1
piers 2
plan 1
plans 1
play 4
pleading 1
please 1
pleases 1
pleasing 2
plot 1
poetry 2
power 1
preside 1
prisoner 1
protect 1
pulled 1
queen 3
realizes 1
realizing 1
recall 2
recent 1
reentry 1
refuge 1
refuses 2
reign 3
rejoicing 1
renounced 1
resulting 1
return 1
royal 1
running 1
satyrs 1
scant 1
scythe 1
search 1
see 1
seeks 1
seem 1
sends 1
shall 5
shape 1
she 1
show 1
shows 2
side 1
silence 1
single 1
sir 1
so 1
soldier 1
sometime 1
son 5
soon 3
speeches 1
spencer 1
spencers 1
sportful 1
spring 1
stay 1
still 1
such 1
sweet 1
sylvan 1
taken 4
takes 2
taking 1
telescopes 1
tells 1
than 1
that 7
the 39
their 2
then 2
there 2
therefore 1
these 1
they 2
things 1
this 3
those 1
though 1
threat 1
throne 2
through 1
titles 1
to 24
too 1
transformed 1
travels 1
treasury 1
tree 1
tries 1
turn 2
two 1
upon 1
version 1
walk 1
warn 1
warwick 1
was 3
water 1
weep 1
when 1
where 2
which 2
who 7
whose 1
will 3
with 10
witness 1
yelping 1
young 1
