5197331
/m/0d7cmm
/m/0d7cmm
Anthony Horowitz

a 16
acquire 1
affected 1
affirms 1
after 3
agrees 2
align 2
all 4
alone 2
ambushed 1
an 6
and 33
ankle 1
another 1
appears 1
are 4
arise 1
army 1
arrive 1
as 2
ashwood 1
ask 1
at 8
atoc 3
attempt 2
aunt 1
awakes 1
back 2
based 1
be 3
beaten 1
beatings 1
because 1
been 2
before 3
being 6
believed 1
belonging 1
bidder 1
biding 1
bookseller 1
break 1
breaking 1
brian 1
brother 1
brutally 1
building 1
bullets 1
bully 1
bursts 1
but 11
by 9
can 2
captain 1
captured 1
car 1
carer 1
case 1
causing 1
center 1
challenges 1
chambers 2
choice 1
church 1
clairvoyance 1
cole 1
coma 2
comes 1
conducted 1
constructed 1
contact 1
continuing 1
control 2
controlling 1
could 1
crack 1
crashes 1
cuzco 1
cygnus 1
dark 1
decides 1
deduce 1
defeat 1
deflecting 1
demons 1
descend 1
desert 3
desperate 1
destroyed 1
destroying 2
diary 3
diego 1
dies 1
different 1
discovered 1
disease 1
diseases 1
dish 3
doctor 1
does 2
drawings 1
dream 1
drives 1
dying 1
each 1
early 1
enable 1
english 1
escape 4
europa 2
evacuate 1
events 1
everything 1
evil 1
examines 1
expert 1
explains 1
fabian 6
fallen 1
falls 2
find 2
finds 1
five 2
flattening 1
fly 1
for 2
forces 1
fortunately 1
friendless 1
from 8
gate 13
gatekeepers 1
gavin 1
get 1
god 1
goes 1
gone 1
gwendolyn 1
hacienda 1
had 2
happens 1
has 4
have 2
having 2
he 14
headquarters 1
heal 1
helicopter 2
help 5
helps 1
her 1
here 1
hide 1
him 6
himself 2
his 11
hospital 1
hotel 3
house 2
however 5
in 17
inca 2
incas 3
influence 1
injure 1
insists 1
into 6
is 22
it 6
its 2
kidnapped 2
kidnappers 1
kidnapping 1
kill 1
killed 3
killing 1
kills 2
king 1
knowledge 1
last 1
learned 1
led 2
left 1
lines 2
lived 1
lives 2
local 1
located 1
man 1
manages 5
mandingo 1
markings 1
mast 2
matt 27
meanwhile 1
meet 2
meeting 2
meets 1
members 1
meredithe 1
micos 2
moments 1
morton 2
mountain 1
movements 1
must 1
named 1
nazca 4
never 1
new 2
nexus 7
night 1
no 1
not 3
of 19
off 1
old 4
on 8
once 3
one 3
ones 3
only 3
open 4
opened 3
opening 2
other 1
out 1
overexerts 1
passes 1
paying 1
pedro 15
persuade 1
peru 1
peruvian 3
petrol 1
place 2
plan 1
planned 1
point 1
pointless 1
poison 2
police 2
position 1
power 3
powers 3
prevent 1
previous 1
process 2
professor 2
proper 1
radio 2
range 1
raven 1
reaching 1
realizes 2
reason 1
refuses 1
rendezvous 1
revealed 3
revealing 1
reveals 3
richard 9
rodriguez 4
room 1
sadistic 1
salamanda 9
satellite 5
saves 1
school 3
sebastian 1
second 4
seems 1
sent 1
separated 1
several 1
she 1
shoots 2
sleeping 1
some 1
somewhere 1
speak 1
spouse 1
st 1
star 3
stars 2
stay 1
staying 1
steals 1
still 1
stolen 1
stop 6
strangely 1
street 2
substitute 1
such 1
survive 1
susan 1
taken 3
takes 1
tanker 1
taylor 2
tells 1
temporarily 1
thanks 1
that 12
the 85
their 4
them 6
then 3
there 5
they 7
think 1
thinking 1
this 3
three 1
time 1
tipping 1
to 41
town 4
trailer 1
traitor 2
trajectory 1
travel 3
tries 1
trigger 1
try 1
two 1
unaffected 2
under 1
unlike 1
use 1
uses 2
using 3
vilcabamba 1
village 1
waiting 1
wants 1
was 5
way 2
when 2
where 3
whereabouts 1
which 2
while 1
who 3
whole 1
why 1
will 3
with 7
world 1
wound 1
