25714542
/m/09v1y28
/m/09v1y28
Colm Tóibín
2009-04-29
{"/m/05hgj": "Novel"}
150s 1
a 16
about 3
america 1
and 14
are 1
as 3
at 2
attracted 1
awaiting 1
back 2
beach 1
because 2
been 1
before 2
begins 1
boardinghouse 1
bookkeeping 1
books 1
boring 1
brief 1
brings 1
brooklyn 1
brother 1
brought 1
busybody 1
but 1
by 4
called 1
catholic 1
city 1
classes 1
condition 1
confided 1
consequences 1
course 1
cousin 1
dances 1
day 1
decision 1
department 1
desperate 1
died 1
docks 1
doubt 1
easily 2
eilis 12
emigrates 1
emigrating 1
employment 1
encounter 1
eventually 2
evolves 1
excellent 1
experiences 1
extending 1
falls 2
family 1
farewell 1
farrell 1
father 2
find 1
first 1
flood 2
for 3
forced 1
friday 1
friend 1
friends 1
from 5
further 1
george 1
goes 1
had 1
has 3
he 1
heart 1
her 24
him 2
his 1
homesickness 1
immediately 1
in 13
informing 1
initial 2
interested 1
into 2
ireland 4
is 10
italian 1
jim 4
job 2
kehoe 3
kelly 1
knows 1
lacey 1
leads 1
leaves 2
letters 2
life 1
living 1
local 3
longer 1
love 1
loves 1
madge 2
make 1
marriage 2
marries 1
marry 1
meet 1
meeting 1
meets 1
miss 1
mother 3
mourn 1
mrs 2
nancy 1
new 5
news 1
night 3
no 1
not 1
note 1
of 2
older 1
on 1
one 1
opportunities 1
or 1
organizes 1
out 1
overheard 1
owner 1
passage 1
plumber 1
point 1
posting 1
preexisting 1
priest 1
procrastinates 1
proposes 1
prospects 1
pub 1
qualifies 1
receives 1
relationship 2
repressive 1
return 3
rose 3
routine 1
run 1
saves 1
school 1
secret 1
secretly 1
settle 2
severe 1
sexual 1
she 14
sister 2
sleep 1
social 1
society 1
some 1
somehow 1
soon 1
spend 1
starts 1
stay 1
store 1
story 1
strict 1
takes 1
taxi 1
telling 1
tells 2
that 2
the 9
their 1
they 1
thinking 1
this 3
time 1
times 1
to 16
tony 4
town 2
truth 1
turning 1
unable 1
undertaking 1
unopened 1
unwelcome 1
up 1
visit 1
while 2
who 3
whole 1
whom 1
with 6
woman 1
wonderful 1
work 1
working 2
york 4
young 2
