28123503
/m/0cm8ggw
/m/0cm8ggw
Sharon Flake
2000

a 8
about 2
aint 1
also 1
and 9
anyone 1
are 1
at 3
bad 1
be 5
because 1
been 1
before 1
being 2
believing 1
better 1
black 5
both 1
boy 1
brown 1
bullying 2
but 4
caleb 3
can 4
charlese 2
class 1
clever 1
cocoa 1
color 1
could 1
decided 1
didnt 1
different 1
difficult 1
doesnt 3
else 1
english 1
even 2
everybody 1
experience 1
eyes 1
far 1
fifth 1
finally 1
first 1
for 3
gang 1
gave 1
girl 1
gorgeous 1
grade 1
grader 1
graders 1
gum 1
half 1
hard 2
have 1
he 11
head 1
her 4
his 1
how 1
i 4
if 1
improve 1
in 2
inside 1
instance 1
is 4
it 5
jealous 2
johnjohn 3
left 1
letters 1
liked 1
makes 1
maleeka 8
maybe 1
mcintyre 1
me 6
might 1
miss 1
mistakes 1
momma 1
move 1
much 1
my 2
new 1
noone 1
nothing 1
of 2
on 2
out 1
outspoken 1
over 1
perhaps 2
poems 1
poor 1
pretty 2
push 1
put 1
quite 2
rather 1
realise 1
realises 1
really 1
reason 2
relationship 1
ring 1
ruined 1
said 2
saunders 1
saw 3
school 1
second 1
see 3
seem 2
selfprotection 1
seventh 1
she 6
side 2
since 1
situation 1
skin 1
skinny 1
smallest 1
so 1
some 1
something 1
sometimes 2
spearmint 1
stared 1
sweet 1
tall 1
teacher 1
teamed 1
tease 1
teasing 2
terrible 1
than 1
that 2
the 7
there 2
things 1
thirteen 1
thought 1
time 1
to 6
told 1
too 3
turn 1
until 1
up 1
very 1
walked 1
was 3
wasnt 1
what 1
when 1
why 2
with 3
world 1
would 1
wrote 1
year 1
yet 2
