2877118
/m/088k9v
/m/088k9v
Dick Lochte
1999
33 1
a 18
after 1
aleck 1
alibi 1
along 1
also 4
and 15
another 2
are 1
at 5
attorney 3
ball 1
be 1
becomes 1
bewilderment 1
black 1
blackmail 3
blood 2
busted 1
cadaver 1
cemetery 1
charges 1
club 1
clues 1
come 2
confessed 1
conflict 1
contents 1
cooper 1
could 1
cousin 1
crime 1
cut 1
day 1
deceased 1
decides 1
deschamps 2
detective 1
detectives 2
detector 1
diana 5
did 1
discover 1
district 3
down 1
drawer 1
dropped 1
due 1
family 2
few 1
fight 1
file 1
files 1
finally 1
find 4
fingers 1
fire 2
first 1
for 2
found 3
from 1
get 1
getaway 1
girlfriend 1
give 1
glass 1
go 1
goodman 1
grave 1
gray 2
had 4
hands 1
has 1
have 1
he 8
help 1
her 7
hill 1
himself 1
his 3
hollywood 1
homicide 1
host 1
huband 1
husband 1
identity 1
if 1
in 2
information 1
is 7
it 5
its 1
j 2
jamal 1
joe 2
john 4
jw 1
killed 2
killer 3
lead 1
leads 1
legal 1
lie 1
logs 1
loose 1
m 1
maddie 8
madeleine 1
mail 1
major 1
man 1
mansion 1
merely 1
missing 2
most 1
murder 3
neighbor 1
news 1
next 1
nikki 5
not 1
of 8
office 1
old 1
on 3
only 2
out 4
palmer 1
past 1
phenomenal 1
pointed 1
popular 1
possessed 1
private 1
prosecutor 2
protagonist 1
proven 2
putting 1
question 1
quickly 1
quirky 1
rb 1
real 1
really 1
report 1
ring 2
rug 1
scenario 1
scene 1
see 1
several 1
she 3
show 1
singer 1
skin 1
slept 1
small 1
smart 1
so 1
soon 1
stealing 2
stole 1
strings 1
suspect 2
taking 1
team 2
test 1
that 9
the 23
there 5
they 4
this 4
threatened 1
thriller 1
thumb 2
time 1
times 1
to 12
together 2
told 1
towards 1
town 3
trace 1
trunk 1
trusted 1
try 1
turned 2
tv 1
two 1
under 1
up 2
upstairs 1
w 1
walden 2
wants 1
was 10
way 1
went 1
were 3
when 4
where 1
while 1
whilst 1
who 2
willin 1
willins 2
with 6
wrong 1
year 1
