5425800
/m/0dlbyt
/m/0dlbyt
Leslie Charteris
1932
10 1
100000 1
12812 1
24 1
a 13
about 1
absconding 1
accompanied 1
according 2
adventure 1
adventurer 1
after 2
against 1
along 1
amassed 1
and 7
another 1
appearance 1
approximately 2
are 2
as 3
at 1
attached 1
attack 1
attacked 1
attitude 1
austria 1
back 1
barer 1
based 1
be 1
bed 1
been 1
before 1
begins 1
being 1
body 1
book 3
box 1
britain 1
buccaneering 1
burl 1
but 1
by 7
careermaking 1
character 1
charteris 1
co 1
complete 1
completely 1
courier 1
course 1
crime 1
crimefighting 1
crosscontinent 1
death 2
decides 1
departed 1
diamonds 3
during 1
edition 1
editions 1
editor 2
encounter 1
end 1
england 1
events 4
featuring 1
female 1
fiction 1
filled 1
film 1
finally 1
find 1
finds 1
first 2
for 5
forcing 1
fortune 1
friend 2
from 2
getaway 1
great 1
had 1
has 2
haydon 1
hayward 2
he 1
her 1
hero 2
him 1
himself 1
his 7
history 1
holiday 1
holm 1
holy 2
hotel 1
hours 1
however 1
in 10
indicates 1
innsbruck 1
intrigued 1
is 4
it 1
journey 3
kent 1
knock 1
last 2
latenight 1
later 2
little 1
long 1
loverpartner 1
main 1
making 1
man 4
melancholy 3
men 1
miniature 1
minions 1
monty 5
more 1
mr 2
much 1
murder 1
nearly 1
norman 1
novel 3
novella 1
of 18
omit 1
on 3
one 1
out 3
outside 1
over 2
part 1
particularly 1
patricia 2
personal 1
picks 1
place 4
point 1
police 1
pounds 1
previous 1
prince 1
print 1
prologue 2
publishing 1
pursuing 1
quest 1
race 1
radio 1
reallife 1
recaps 1
recentlystolen 1
reluctant 1
repeated 1
reporter 1
responsible 1
room 1
rudolf 2
safe 1
saint 5
scoop 1
see 1
series 1
simon 2
since 1
some 1
stabbed 1
steel 1
stop 1
story 3
such 1
take 3
takes 3
teal 2
television 1
templar 6
terror 2
text 2
than 1
that 2
the 46
their 1
themselves 1
they 2
this 3
three 1
thugs 1
time 2
to 9
told 1
too 1
topped 1
tow 1
trio 2
turns 1
two 1
unconscious 1
ungrateful 1
up 2
upon 1
very 1
victim 1
view 1
villain 1
visiting 1
walk 1
want 1
war 1
was 2
way 1
weeks 1
well 1
welldeserved 1
when 1
whereas 1
which 3
while 1
who 3
with 5
within 1
wonderful 1
wrist 1
year 1
years 2
yet 1
