8459822
/m/027475k
/m/027475k
Virginia Woolf
1941
a 17
after 1
all 1
also 1
although 1
and 13
annual 1
army 1
around 1
as 1
at 3
attended 1
attracted 1
audience 1
bartholemew 1
based 1
be 1
been 1
before 1
behind 1
being 1
book 1
but 1
by 5
calls 1
celebration 1
child 1
children 1
city 1
clearly 1
comedy 1
community 1
contact 1
country 1
course 1
coward 1
cries 1
day 3
decorations 1
dialogue 1
directing 1
dismissed 1
dodge 2
domineering 1
eccentric 1
ends 1
england 1
english 1
entire 1
entitled 1
evening 1
events 1
eye 1
farmer 1
final 1
first 1
flirts 1
food 1
for 1
friend 1
frightens 1
from 2
frustrated 1
further 1
fusses 1
gay 1
gentleman 1
giles 3
goes 1
grandson 1
grounds 1
haines 1
harmless 1
has 4
he 1
her 2
him 2
his 3
history 1
house 5
hyde 1
in 9
indian 1
interest 1
interspersed 1
is 18
isa 1
it 1
job 1
jumping 1
just 1
kinds 1
la 2
leading 1
life 1
living 1
local 2
lost 1
lucy 2
made 1
main 1
making 1
manresa 2
mirrors 1
miss 2
mrs 2
newspaper 1
no 1
normal 1
novel 1
obviously 1
of 8
officer 1
oliver 4
on 2
ourselves 1
out 1
owner 1
pageant 6
panorama 1
park 1
parody 1
parts 1
performed 1
place 2
point 1
policeman 1
preparations 1
prologue 1
provocative 1
quietly 1
relationship 1
restless 1
restoration 1
retired 1
returning 1
romantic 1
scene 5
second 2
shakespearean 1
she 1
shocks 1
sister 1
slightly 1
somewhere 1
son 1
spinster 1
stay 1
staying 1
strange 1
swithin 1
takes 2
than 1
the 31
them 1
then 1
third 1
three 1
to 5
traditionally 1
traffic 1
triumph 1
trobe 2
turn 1
turning 1
two 1
up 3
victorian 1
war 1
when 2
which 1
who 2
widower 1
wife 1
william 2
with 5
world 1
written 1
