1743436
/m/05sk39
/m/05sk39
Harry Harrison
1966
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/026ny": "Dystopia"}
1 1
344 1
65 1
a 21
abandoned 1
acceptance 1
accidentally 1
accustomed 1
adapted 1
after 1
afterwards 1
against 1
air 1
among 1
an 2
and 19
andy 12
announcing 1
answer 1
apartment 3
are 1
as 7
asks 1
at 1
attack 1
attacked 1
attempt 1
attempts 1
awaiting 1
back 1
basement 1
becomes 4
bedridden 1
before 1
being 1
believing 1
bicycle 1
big 1
biggest 1
bill 1
billy 6
block 1
both 1
box 1
boy 2
breaking 1
breaks 1
brooklyn 1
but 2
by 4
can 2
capture 1
capturing 1
car 1
catches 1
census 1
chief 2
chung 3
citizens 1
city 2
clock 1
combination 1
comes 1
complete 1
concludes 1
concubine 1
conditioning 1
contending 1
continually 1
continue 1
control 1
crisis 1
days 1
death 2
decides 2
delivers 1
delivery 1
demonstration 1
demotes 1
desperately 1
despite 1
detective 1
dies 1
disappointed 1
discarded 1
distances 1
distraught 1
during 1
eagerly 1
eldsters 1
enamored 1
encounters 1
end 2
ended 1
endofthecentury 1
ends 1
engineer 1
ensures 1
escape 1
evade 1
eve 1
events 1
eventually 2
ever 1
face 1
family 3
fatalist 1
favor 1
few 1
find 1
finds 2
first 1
flees 1
food 1
for 3
force 1
forced 1
forcibly 1
from 2
frozen 1
frustrates 1
fund 1
funeral 1
generator 1
gives 1
giving 1
glimpses 1
gone 1
grabs 1
group 1
growing 1
had 2
half 1
has 3
have 1
he 13
her 1
here 1
hermit 1
hides 1
him 6
himself 1
his 6
home 1
homeless 1
hope 1
how 1
human 1
humanity 1
idea 1
impoverished 1
in 15
injured 1
interest 1
into 2
investigate 1
investigates 1
irritable 1
is 8
it 2
its 1
joins 1
kills 2
later 3
latter 1
leave 1
leaves 2
legislative 1
lentil 1
life 4
lifestyle 1
limit 1
live 2
lives 1
living 1
location 1
longer 1
looted 1
looters 1
lost 1
luxuries 1
luxury 1
make 2
makes 1
making 1
march 1
meager 1
meanwhile 1
message 1
messengerboy 1
midnight 1
mike 4
millennium 1
million 1
miserable 1
month 2
more 1
moves 1
murder 1
named 1
navy 1
nearby 1
new 4
no 2
not 1
now 1
obsessed 1
of 17
old 1
older 1
on 4
one 1
overpopulated 1
overturning 1
own 2
owner 1
pandemonium 1
paperwork 1
part 1
partygoers 1
passive 1
patrol 1
people 2
permitted 1
peter 3
planning 1
pneumonia 1
police 3
poor 1
population 1
power 1
previous 1
protest 1
public 1
quarters 2
queues 1
racketeer 1
rare 1
ration 1
reducing 1
refrigerator 1
remain 1
retired 2
return 2
rich 2
riot 1
riots 1
room 3
running 1
rusch 1
sale 1
says 1
screen 1
sees 2
sells 1
semifortified 1
set 2
shame 1
sharing 1
she 1
shirl 8
shoots 1
shop 2
showers 1
small 1
sol 6
soon 1
soya 1
soylent 2
speech 1
spread 1
square 2
starts 1
states 1
stay 1
steaks 2
stoic 1
story 2
strikes 1
stumbles 1
supporting 1
surprised 1
survival 1
takes 2
television 1
than 2
that 4
the 32
theft 1
their 4
then 1
there 1
therefore 2
they 2
thirtythree 1
this 2
time 1
times 2
to 17
trying 1
under 1
united 1
until 2
upon 1
water 2
what 1
when 3
where 2
which 3
while 1
who 2
whose 1
will 1
with 9
witnesses 1
work 1
world 2
writing 1
yard 1
year 2
years 2
york 1
