24941563
/m/09gnbzc
/m/09gnbzc
Selçuk Altun

a 9
according 1
after 1
ago 1
aires 1
allan 2
allowance 1
also 2
american 2
americans 1
an 2
and 6
as 1
auster 1
author 1
be 1
been 1
bit 1
book 2
boston 1
bruce 1
buenos 1
but 1
called 1
can 2
chance 1
chatwin 1
competition 1
convalescing 1
decides 1
disappears 1
district 1
do 1
edgar 2
eight 1
embarks 1
enter 1
eventually 1
experimental 1
fictitious 1
fighter 1
following 1
footsteps 1
friend 1
from 1
generous 1
get 1
have 1
he 2
his 2
house 1
i 2
imagine 1
in 3
includes 1
interpretation 1
is 3
istanbul 1
istanbuls 1
it 3
kemal 2
large 1
left 1
life 1
like 2
literary 1
literature 1
little 1
many 2
master 1
mission 1
museum 1
my 2
mysterious 1
mysteriously 1
mystery 1
narrator 1
nights 1
novel 4
novels 1
now 1
of 9
on 1
one 2
only 1
other 1
outlook 1
overlap 1
part 2
paul 1
pilot 1
plot 1
poe 3
postmodern 1
read 1
regarded 1
scheherazade 1
short 1
should 1
similar 1
states 1
stories 1
story 1
subsequently 1
taksim 1
tells 1
that 2
the 10
they 1
think 1
this 2
thousand 1
thriller 1
to 7
told 1
travel 1
tried 1
turkish 2
use 1
was 1
welloff 1
what 3
where 1
who 1
will 1
with 4
wonder 1
would 1
writer 1
writing 1
year 1
